HOLDING_ID	CURRENCY_SOLD_AMOUNT	DESC_CURRENCY_SOLD	CURRENCY_PURCHASED_AMOUNT	DESC_CURRENCY_PURCHASED	SETTLEMENT_DATE	UNREALIZED_APPRECIATION
159445954	500000000000	IDR	30511060.26	USD	15-OCT-2025	542658.94
159447134	69675364.94	USD	1294637956	MXN	17-DEC-2025	447622.03
159426959	1568124.78	USD	2659000	NZD	02-OCT-2025	-26569.16
159437890	194734210.48	PEN	52687827.51	USD	05-NOV-2025	-3350210.33
159428583	500000000000	IDR	29945499.19	USD	15-OCT-2025	-22902.13
159437014	32033000	SGD	25000091.7	USD	02-OCT-2025	167346.24
159435036	14901829.78	PEN	4171494.49	USD	17-DEC-2025	-112135.72
159429901	2644.39	NOK	265	USD	04-NOV-2025	-.04
159444496	30332443.58	USD	500000000000	IDR	16-OCT-2025	-365012.18
159448016	38809063.23	USD	1699177215.4	TRY	28-NOV-2025	220452.38
159446055	8489341765	TWD	280435444.15	USD	15-DEC-2025	205148.82
159442374	293067799	SGD	228680513.59	USD	02-OCT-2025	1487367.34
159428339	40976719.48	USD	61908000	AUD	02-OCT-2025	-12199.17
159425033	18555103.83	USD	791968941.67	TRY	07-OCT-2025	421955.56
159425261	30398832.68	USD	500000000000	IDR	16-OCT-2025	-431401.28
159435568	66956000	EUR	78841942.08	USD	02-OCT-2025	232205.91
159440953	114016966	USD	416893458.75	PLN	15-OCT-2025	662108.49
159442210	30408076.39	USD	500000000000	IDR	16-OCT-2025	-440644.99
159442157	60480939.46	USD	222256565.95	PLN	15-OCT-2025	657408.35
159429266	5910111.25	USD	257533097.72	TRY	07-NOV-2025	104375.08
159437535	251272088.31	PEN	70649521.54	USD	21-OCT-2025	-1684846.11
159427674	661864459.13	ZAR	37608072	USD	20-NOV-2025	-585033.99
159428174	16130739.88	PEN	4500199.44	USD	02-FEB-2026	-130715.08
159428251	14747586.65	GBP	12646925.66	EUR	02-OCT-2025	100544.8
159440971	233575000	ILS	68947327.87	USD	13-NOV-2025	-1574096.08
159428790	22479192	USD	3332283951	JPY	04-NOV-2025	132116.63
159425694	635415265.21	AUD	415404000.46	USD	02-OCT-2025	-5050246.77
159433078	11526276.88	USD	20017848	NZD	02-OCT-2025	79073.29
159435265	29870005.74	USD	500000000000	IDR	17-DEC-2025	33954.32
159429329	4256024.5	USD	184447589.78	TRY	31-OCT-2025	76191.14
159425075	1820584.65	USD	11591133.59	DKK	02-OCT-2025	2479.59
159432393	70840227.06	USD	60311000	EUR	02-OCT-2025	-32057.55
159437391	2570861646	TWD	84802139	USD	15-DEC-2025	-61132.88
159431797	1642420866.18	SEK	173859997.33	USD	02-OCT-2025	-598371.36
159434641	500000000000	IDR	29945499.19	USD	15-OCT-2025	-22902.13
159446998	223293741282	KRW	161382552.62	USD	22-OCT-2025	2237710.16
159438606	436065394.25	CHF	546310258	USD	02-OCT-2025	-1476180.35
159428259	2305234158.83	CNY	323674286	USD	16-OCT-2025	125448.91
159425197	4285167329	TWD	144174932	USD	20-OCT-2025	3379803.12
159423791	17072998.61	USD	56685000	ILS	13-NOV-2025	41448.21
159440693	1868546553.77	INR	21190000	USD	08-OCT-2025	159735.03
159428830	3318234.08	USD	496800000	JPY	02-OCT-2025	41133
159434406	2478270485.21	CNY	348935214	USD	16-OCT-2025	1100036.21
159436947	172713900	USD	625229844.84	PLN	22-OCT-2025	-741668.82
159422310	863517	USD	8613754.78	NOK	02-OCT-2025	-376.4
159427159	19533492	USD	2882338639	JPY	02-OCT-2025	-43086.35
159426107	4153670451.85	INR	47230000	USD	20-OCT-2025	522371.81
159444120	1569142.59	USD	25843745454	IDR	15-OCT-2025	-20151.12
159422470	17665000	CHF	22142709.86	USD	02-OCT-2025	-48107.3
159423926	29734449.78	USD	279975000	SEK	02-OCT-2025	4567.05
159432972	296034159659	KRW	212851711	USD	22-OCT-2025	1863667.04
159430510	500000000000	IDR	30507337.01	USD	17-OCT-2025	540875.47
159443819	658979995.72	THB	20496917.46	USD	20-OCT-2025	131723.66
159439631	6393245	USD	281286796.89	TRY	08-DEC-2025	14953.7
159447859	2469448	USD	753379.2	KWD	10-JUN-2026	8125.99
159439978	20974524.22	USD	31536000	AUD	02-OCT-2025	-107154.7
159423271	1845646408.3	CNY	259738018	USD	16-OCT-2025	694160.44
159444333	2513714795.24	CNY	353657257	USD	16-OCT-2025	847328.49
159430770	357740000	PEN	100000000	USD	20-JAN-2026	-2742285.22
159444032	920653543	TWD	30871623.05	USD	20-OCT-2025	622271.21
159427531	94258518.13	USD	902525000	SEK	02-OCT-2025	1607920.52
159436836	17040312.65	USD	318789743	MXN	20-OCT-2025	333955.46
159428150	101602437	USD	4417470755.89	TRY	27-OCT-2025	2499985.75
159426574	439870003.93	BRL	82457588.14	USD	02-OCT-2025	-189789.18
159445095	2232171158.23	CAD	1607034671.15	USD	04-NOV-2025	503372.87
159429206	12692886.19	PEN	3563415.55	USD	20-FEB-2026	-78573.51
159431684	500000000000	IDR	29976019.18	USD	17-OCT-2025	9557.64
159424402	500000000000	IDR	29945499.19	USD	15-OCT-2025	-22902.13
159439223	16513709.51	USD	55055000	ILS	13-NOV-2025	108604.5
159434214	37337972	USD	5573117973	JPY	04-NOV-2025	478580.37
159445989	3584966.82	USD	12002000	ILS	13-NOV-2025	38700.65
159444056	30332443.58	USD	500000000000	IDR	16-OCT-2025	-365012.18
159428367	500000000000	IDR	29945499.19	USD	15-OCT-2025	-22902.13
159441915	3398989.95	USD	5869212.28	NZD	02-OCT-2025	3686.69
159428324	891498929	USD	131105526346	JPY	02-OCT-2025	-4961914.79
159441484	55552445004	KRW	39813123.06	USD	10-OCT-2025	240781.16
159448062	51658324.43	USD	275561000	BRL	02-OCT-2025	116958.58
159442589	1382015545	TWD	46382586.42	USD	20-OCT-2025	974544.72
159428828	87173.08	NOK	8737	USD	04-NOV-2025	-.01
159434430	196156726.58	PEN	54645845.38	USD	29-DEC-2025	-1724698.55
159440805	5078235.98	USD	448380306.74	INR	17-OCT-2025	-35320.69
159439349	345300252.73	USD	1886800000	BRL	02-OCT-2025	9211466.94
159422313	4931164.21	USD	81316870277	IDR	16-OCT-2025	-57448.75
159423230	2972366.16	USD	2531000	EUR	02-OCT-2025	-843.93
159428502	30358265.79	USD	500000000000	IDR	16-OCT-2025	-390834.39
159436474	4104015342	TWD	137111297	USD	15-DEC-2025	1639141.07
159442467	182740000	PEN	50000000	USD	14-OCT-2025	-2614758.28
159429465	26987499.98	USD	20023000	GBP	02-OCT-2025	-58577.92
159438113	4938253	USD	1497920.28	KWD	10-JUN-2027	-5041.7
159422774	30252609.29	USD	500000000000	IDR	15-OCT-2025	-284207.97
159426989	58494730.45	PEN	16523468.39	USD	18-MAR-2026	-247451.81
159432693	5055783	USD	1545729.82	KWD	21-MAY-2026	26700.43
159430452	14654860.27	USD	53890273.71	PLN	15-OCT-2025	169279.05
159441456	9114000000	TWD	300000000	USD	15-DEC-2025	-850052.02
159428328	99376143.12	USD	4305073896.1	TRY	31-OCT-2025	1739347.02
159430236	215620605.32	USD	160710000	GBP	02-OCT-2025	518188.31
159435642	18312469.91	USD	60935000	ILS	13-NOV-2025	85145.28
159429106	15358306.48	DKK	2398554.4	USD	02-OCT-2025	-17014.29
159435950	500000000000	IDR	29945499.19	USD	15-OCT-2025	-22902.13
159436519	11494751.34	USD	192192242400	IDR	17-DEC-2025	-133.06
159446343	12841725.56	USD	43944384.87	ILS	15-OCT-2025	425405
159436274	133188242.91	USD	98578000	GBP	02-OCT-2025	-610743.08
159444992	29904306.22	USD	500000000000	IDR	17-DEC-2025	-346.16
159433018	885200000	BRL	148646522.36	USD	02-OCT-2025	-17674112.71
159439464	99639.23	USD	4215137.99	TRY	17-OCT-2025	532.57
159429463	1408732594	KRW	997469.45	USD	20-OCT-2025	-6468.02
159438842	151565459	USD	550648831.52	PLN	22-OCT-2025	-107065.05
159441226	266600000	BRL	43845078.53	USD	02-OCT-2025	-6246518.07
159425944	7161265.34	USD	314042968.96	TRY	04-DEC-2025	17443.22
159444998	7612593	USD	2325291.65	KWD	13-JUL-2026	36515.76
159438463	101602437	USD	4353359618.14	TRY	10-OCT-2025	2468412.78
159441304	121028417.84	PEN	33859785.65	USD	17-DEC-2025	-930639.06
159422972	5075276	USD	1549634.02	KWD	07-JUL-2026	22012.96
159435980	997575.04	USD	1408732594	KRW	22-OCT-2025	6450.09
159436308	523199684880	IDR	31797720	USD	08-OCT-2025	428414.43
159446246	74454827581	IDR	4535257.75	USD	15-OCT-2025	72673.44
159433690	94210609	USD	8313238348.77	INR	17-OCT-2025	-711951.43
159436833	29958058.72	USD	500000000000	IDR	08-OCT-2025	20271.23
159426387	2468804	USD	753923.37	KWD	02-JUN-2026	10398.28
159435921	3778867.8	USD	161254491.97	TRY	15-OCT-2025	59781.81
159431999	579088444.93	ZAR	32888532	USD	20-NOV-2025	-527956.91
159430860	29958058.72	USD	500000000000	IDR	08-OCT-2025	20271.23
159444631	184974165.98	PEN	52568893.62	USD	25-MAR-2026	-453611.59
159442186	748483524.1	CAD	542067283.8	USD	02-OCT-2025	4221800.04
159428285	29958058.72	USD	500000000000	IDR	08-OCT-2025	20271.23
159428321	17228620.28	PEN	4914038.87	USD	29-DEC-2025	-37036.29
159438642	29719006.79	USD	500000000000	IDR	17-DEC-2025	184953.27
159442815	85403066.6	PEN	24040272.09	USD	03-OCT-2025	-556322.7
159442327	500000000000	IDR	29945499.19	USD	15-OCT-2025	-22902.13
159440349	91285541.75	USD	126384832553	KRW	22-OCT-2025	-1209151.12
159445714	30206917.38	USD	500000000000	IDR	15-OCT-2025	-238516.06
159423095	2018795000	BRL	353742623.04	USD	02-APR-2026	-9395721.72
159422322	48588115.7	USD	163372000	ILS	15-OCT-2025	735083.61
159434960	265800000	BRL	43709916.13	USD	02-OCT-2025	-6231368.1
159428655	679602.69	NOK	67285.8	USD	02-OCT-2025	-813.73
159446183	1000302.96	USD	16492195018	IDR	15-OCT-2025	-11813.52
159430831	121154553.57	PEN	34450028.75	USD	17-DEC-2025	-376654.51
159444516	157787042	USD	14040522145.33	INR	19-NOV-2025	-183608.54
159439324	364100000	PEN	100000000	USD	14-OCT-2025	-4832185.01
159441171	587633798.21	THB	18252898	USD	20-OCT-2025	92595.32
159428883	4157130152	TWD	139782453	USD	20-OCT-2025	3194163.54
159440587	8249768762.12	USD	7037250500.83	EUR	02-OCT-2025	12319851.5
159432340	76048237.48	USD	409900000	BRL	02-OCT-2025	968062.02
159431222	490555634.99	GBP	661402917.65	USD	02-OCT-2025	1654904.75
159428833	55152461.81	PEN	15509255.03	USD	02-MAR-2026	-310985.53
159445057	121994535	USD	10715219189.38	INR	17-OCT-2025	-1480895.46
159447909	56183758	USD	8271457128	JPY	02-OCT-2025	-252073.73
159432290	7096616.19	USD	301996501.97	TRY	03-OCT-2025	161450.78
159422391	262563.51	TRY	6032.06	USD	19-NOV-2025	-41.8
159437685	109559622	USD	9668034063.58	INR	17-OCT-2025	-823631.48
159447460	752300000	BRL	131842518.03	USD	02-APR-2026	-3480274.41
159439485	30326556.36	USD	500000000000	IDR	16-OCT-2025	-359124.96
159437302	3944796.75	PEN	1090566.39	USD	24-NOV-2025	-44037.52
159444667	80849736.4	USD	443194000	BRL	02-OCT-2025	2422188.07
159423500	168155.17	USD	7161241.04	TRY	09-OCT-2025	3185.86
159426037	23705559.98	USD	395645795990	IDR	08-OCT-2025	16040.45
159439412	52267399.02	USD	38461000	GBP	02-OCT-2025	-541220.55
159447236	1401413.83	USD	59176100.39	TRY	15-OCT-2025	7268.26
159440857	4369656812	TWD	146829866	USD	20-OCT-2025	3258717.72
159442355	29958058.72	USD	500000000000	IDR	08-OCT-2025	20271.23
159441911	1750415.27	USD	2977000	NZD	02-OCT-2025	-24499.11
159447481	4234000	CAD	3066534.01	USD	02-OCT-2025	24065.2
159428033	30648522.74	USD	500000000000	IDR	15-OCT-2025	-680121.42
159433501	498632551.99	THB	15452658.08	USD	20-OCT-2025	42860.18
159428133	500000000000	IDR	30507337.01	USD	17-OCT-2025	540875.47
159442271	11061440.3	USD	480469145.45	TRY	17-NOV-2025	70791.63
159432408	30206917.38	USD	500000000000	IDR	15-OCT-2025	-238516.06
159441709	400000000	USD	2191360000	BRL	02-OCT-2025	11735638.12
159443334	14013067200.02	INR	157787042	USD	17-OCT-2025	182638.44
159423201	434900000	BRL	77233173.5	USD	02-APR-2026	-996099.97
159432931	103388964.83	SGD	80635359.67	USD	02-OCT-2025	485768.73
159437258	43750855.04	PEN	12170185.39	USD	17-DEC-2025	-406289.25
159443223	3585550759.84	GBP	4822916797.4	USD	04-NOV-2025	-135570
159441938	126935072	USD	463975613.88	PLN	15-OCT-2025	695364.19
159429025	20.3	USD	202.62	NOK	02-OCT-2025	0
159424718	32278126.32	USD	54992000	NZD	02-OCT-2025	-396506.66
159428183	1303048.65	USD	55281187.45	TRY	06-OCT-2025	22581.4
159444573	11564486.78	DKK	1820584.65	USD	04-NOV-2025	-2513.58
159434240	397279679787	IDR	23793476.66	USD	15-OCT-2025	-18197.1
159437296	133015646.69	USD	709000000	BRL	02-OCT-2025	198689.35
159442220	26117867.89	USD	19140000	GBP	02-OCT-2025	-376492.06
159429797	138066650	USD	2437359605.78	ZAR	20-OCT-2025	2891404.5
159428844	8395740	USD	2559693.21	KWD	28-MAY-2026	21215.26
159443076	17029386.87	USD	57043000	ILS	13-NOV-2025	193148.02
159427704	30643537.13	USD	103271000	ILS	13-NOV-2025	536246.55
159428280	15307325.51	USD	2256500000	JPY	02-OCT-2025	-48847.64
159437100	500000000000	IDR	29945499.19	USD	15-OCT-2025	-22902.13
159422332	291471.84	NOK	29227	USD	04-NOV-2025	13.94
159424930	91338.85	USD	3978272.75	TRY	13-NOV-2025	1128.31
159430615	89234.71	NOK	8934	USD	04-NOV-2025	-9.64
159445339	43922232.89	ILS	12841725.56	USD	13-NOV-2025	-419361.48
159442243	63404053.77	USD	1095387454.15	ZAR	02-OCT-2025	23129.45
159436783	588741130.09	THB	18276791	USD	20-OCT-2025	82267.21
159429469	73515155.08	USD	1376659497	MXN	17-DEC-2025	1050460.36
159429112	30263504.33	USD	500000000000	IDR	16-OCT-2025	-296072.93
159423330	169699890.32	PEN	47744954.09	USD	17-FEB-2026	-951668.56
159430059	165215163	USD	602334997.87	PLN	22-OCT-2025	459739.37
159434187	47598000	SGD	37251896.64	USD	02-OCT-2025	352792.02
159434911	90990424.98	USD	3953079013.26	TRY	05-NOV-2025	1478122.1
159440520	29870005.74	USD	500000000000	IDR	17-DEC-2025	33954.32
159441806	85953744	USD	7591022092.11	INR	17-OCT-2025	-577823.64
159425810	4216219118.4	MXN	221175227.06	USD	17-DEC-2025	-7192771.05
159443574	12947128.46	DKK	2015505	USD	02-OCT-2025	-20831.37
159429372	889661.19	USD	37662383.02	TRY	15-OCT-2025	6888.67
159442424	31492093.98	PEN	8843786.98	USD	17-DEC-2025	-208825.16
159432364	800769.76	USD	14121000	ZAR	20-NOV-2025	14087.18
159440204	2845143.24	KWD	9798000	USD	14-MAY-2030	338783.16
159427528	500000000000	IDR	29976019.18	USD	17-OCT-2025	9557.64
159441301	29182000	USD	1252126665	TRY	16-OCT-2025	599616.4
159440964	7406721	USD	2252183.87	KWD	05-MAY-2026	-2323.24
159440455	30263504.33	USD	500000000000	IDR	15-OCT-2025	-295103.01
159427408	4937600	USD	1501771.04	KWD	04-MAY-2026	-338.93
159437414	54364851.78	USD	2339808855.76	TRY	22-OCT-2025	1006733.88
159431152	500000000000	IDR	30511060.26	USD	15-OCT-2025	542658.94
159426918	172131797	USD	624862865.83	PLN	22-OCT-2025	-260505.02
159437175	3398268887	TWD	112648552.62	USD	22-JAN-2026	57642.59
159444784	139038571.51	PEN	39648275.21	USD	17-FEB-2026	-249858.12
159431392	500000000000	IDR	29838276.54	USD	17-OCT-2025	-128185
159427522	144460383.65	PEN	39156583.54	USD	03-NOV-2025	-2416544.41
159441874	34292359.91	USD	26933000	CHF	02-OCT-2025	-459057.98
159433978	255602521.11	PEN	68826916.85	USD	27-OCT-2025	-4743389.91
159437256	23342023.85	USD	83935000	PLN	22-OCT-2025	-255331.26
159428065	361517.4	USD	15202891.22	TRY	10-OCT-2025	1920.94
159427744	202.58	NOK	20.3	USD	04-NOV-2025	0
159442036	164405000	AUD	107455009.36	USD	02-OCT-2025	-1331770.4
159438518	29870005.74	USD	500000000000	IDR	17-DEC-2025	33954.32
159422460	146153812.03	PEN	41242116.38	USD	10-DEC-2025	-777733.33
159428575	6611505.26	MXN	350185.66	USD	17-DEC-2025	-7921.02
159447917	96270000	USD	524922090.81	BRL	02-OCT-2025	2357853.03
159431125	11165400.06	USD	186899864682	IDR	17-DEC-2025	12692.12
159444886	20017848	NZD	11540789.82	USD	04-NOV-2025	-79372.4
159427771	9745533.59	USD	158988634954	IDR	15-OCT-2025	-216263.16
159424367	12778034	EUR	14899312.94	GBP	02-OCT-2025	-102746.34
159428254	568223688346	IDR	34592001	USD	20-OCT-2025	540000.55
159423207	2146800000	BRL	400000000	USD	02-OCT-2025	-3363239.23
159440246	8403124.11	USD	6727000	CHF	02-OCT-2025	47350.11
159441801	10727228.85	USD	16232000	AUD	02-OCT-2025	13484.69
159427764	1486279.53	USD	64716326.44	TRY	13-NOV-2025	17924.73
159431302	51288159.15	USD	40392000	CHF	02-OCT-2025	-547627.78
159438156	313969646.11	USD	1739800000	BRL	02-OCT-2025	12922175.96
159443483	30408076.39	USD	500000000000	IDR	16-OCT-2025	-440644.99
159440815	75278882.14	USD	1420106000	MXN	17-DEC-2025	1639976.97
159423660	266774736931	JPY	1792840974	USD	02-OCT-2025	-11092737.54
159304111	806304.09	USD	1227227	AUD	04-NOV-2025	5885.76
159304664	15587722.36	USD	21461000	CAD	02-OCT-2025	-167933.5
159303981	2971934.42	USD	4550000	AUD	02-OCT-2025	37890.18
159305001	106000000	BRL	17449277.75	USD	02-OCT-2025	-2467111
159298767	95000	SEK	10194.84	USD	02-OCT-2025	103.92
159292118	3919681026	IDR	238738.54	USD	15-OCT-2025	3805.39
159297664	202997382.81	PEN	56825401.79	USD	16-OCT-2025	-1619063.68
159302675	11606000	AUD	7580718.87	USD	02-OCT-2025	-98970.71
159303931	416910	USD	61518739	JPY	02-OCT-2025	-975.86
159295358	158881808.31	ZAR	9165848	USD	20-NOV-2025	-2478.93
159291096	1084300.14	PEN	311957	USD	20-OCT-2025	-190.93
159292853	4431074.49	USD	3281000	GBP	02-OCT-2025	-18459.33
159286468	13315.71	USD	47188.21	PEN	10-DEC-2025	251.1
159303419	2117574	NZD	1240051.33	USD	02-OCT-2025	12387.51
