ACCESSION_NUMBER	INTEREST_RATE_RISK_ID	CURRENCY_CODE	INTRST_RATE_CHANGE_3MON_DV01	INTRST_RATE_CHANGE_1YR_DV01	INTRST_RATE_CHANGE_5YR_DV01	INTRST_RATE_CHANGE_10YR_DV01	INTRST_RATE_CHANGE_30YR_DV01	INTRST_RATE_CHANGE_3MON_DV100	INTRST_RATE_CHANGE_1YR_DV100	INTRST_RATE_CHANGE_5YR_DV100	INTRST_RATE_CHANGE_10YR_DV100	INTRST_RATE_CHANGE_30YR_DV100
0002071691-25-009466	328365	USD	24843.6	1663179.54	7445137.82	4167684.34	5698832.84	2403312.5	166453353.79	745390531.6	417133914.58	569726950.06
0001099263-25-004419	325101	EUR	2607.033103	491492.536167	1613729.734637	1556165.326852	336219.146246	1059780.12899	48237558.466336	162662883.934033	151024609.152526	29235078.402996
0001099263-25-004419	325116	CHF	0	30681.636907	3706.413349	0	0	0	3033104.435575	366349.669656	0	0
0001099263-25-004419	325118	INR	0	1388.757285	-3623.291972	0	0	0	138763.119397	-347013.565887	0	0
0001099263-25-004419	325104	ZAR	0	8674.753086	105751.750435	49296.966209	0	0	848275.873697	10164715.786502	4698397.703199	0
0001099263-25-004419	325117	USD	-85650.448537	527485.396725	1076548.837558	-859825.645419	-218058.465812	21091086.330261	74995790.253866	134946028.161139	-81268362.951735	-19429754.93394
0001099263-25-004419	325097	CNY	0	73945.980475	787463.924586	557248.151177	311660.251759	0	7184451.412068	76234637.688698	50922171.821979	27173311.911421
0001099263-25-004419	325103	SEK	0	8313.035587	25617.721251	0	0	0	809254.420345	2493824.782082	0	0
0001099263-25-004419	325109	AUD	192.87883	53159.0343	464932.227267	69323.461949	2601.160504	19085.892725	5158706.570106	44953277.992262	6558291.689693	229438.938546
0001099263-25-004419	325111	PEN	0	54.482705	63684.040891	56104.343624	0	0	5287.682237	6104805.914893	5326976.259817	0
0001099263-25-004472	325679	EUR	210.486963	1196.578217	-4687.137495	-15337.156426	-1753.013655	19858.14439	118438.904299	-439146.404008	-1438165.471248	-152334.807898
0001099263-25-004472	325680	USD	788502.886368	1733076.719236	4021997.246296	-1325516.659377	36756.892523	85320703.8468	212846821.630307	449896871.36496	-115132797.603143	13000859.510681
0001099263-25-004485	325964	AUD	4445.468459	496487.017963	3234048.85582	2408372.442387	0	440112.448977	48563281.163959	310019040.06826	229605749.14561	0
0001193125-25-334203	329611	USD	58627.13	-2260199.64	-3126600.57	-2825514.65	-2248538.85	5737396.88	-226487616.71	-315160164.78	-289775058.18	-208676704.75
0000106444-25-000235	328834	JPY	-764.49452001	33711.55562994	31687.5132872	13010.43386702	0	-76216.31384651	3333755.44138938	3125120.20799025	1280306.97999333	0
