ACCESSION_NUMBER	BORROWER_ID	NAME	LEI	AGGREGATE_VALUE
0000035402-25-002972	935219	JPMORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	22997557
0000035402-25-002972	935224	SCOTIA CAPITAL (USA) INC.	549300BLWPABP1VNME36	40136798.81
0002071691-25-009449	932236	Jefferies LLC	58PU97L1C0WSRCWADL48	13226542.202758
0002071691-25-009449	932248	Pershing LLC	ZI8Q1A8EI8LQFJNM0D94	3970056.853
0002071691-25-009449	932249	DEUTSCHE BANK SECURITIES INC	9J6MBOOO7BECTDTUZW19	4724406.392878
0001004726-25-003167	933520	Jefferies LLC	58PU97L1C0WSRCWADL48	258366
0001004726-25-003167	933524	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	2431302
0001410368-25-017881	909057	Jefferies LLC	58PU97L1C0WSRCWADL48	16842527.39776
0001410368-25-017881	909070	SG AMERICAS SECURITIES LLC	549300F35UE0BOM1WJ55	2257631.132593
0000035402-25-001447	911860	CANADIAN IMPRL BK COMM NY BRH	549300H8L46OOZOFHU82	99554495.22
0000035402-25-001447	911866	JPMORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	5145137.43
0000035402-25-001478	911902	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	14990871
0000035402-25-001478	911909	BNP PARIBAS SECURITIES CORP (GOV REPO)	RCNB6OTYUAMMP879YW96	148190
0000035402-25-001478	911910	PERSHING LLC	ZI8Q1A8EI8LQFJNM0D94	586814
0001193125-25-251558	909575	Citigroup Global Markets Inc.	MBNUM2BPBDO7JBLYG310	61105937.778978
0000036405-25-000237	918148	Canadian Imperial Bank of Commerce New York Branch	549300H8L46OOZOFHU82	4987825
0000036405-25-000237	918154	Jefferies LLC	58PU97L1C0WSRCWADL48	10492101
0000036405-25-000237	918156	National Financial Services LLC	549300JRHF1MHHWUAW04	11514706
0000036405-25-000237	918160	SG Americas Securities LLC	549300F35UE0BOM1WJ55	306092.8
0000036405-25-000243	918309	BMO Capital Markets Corp.	RUC0QBLBRPRCU4W1NE59	3569559
0000036405-25-000243	918315	CIBCI	549300TDJKVQJ41VN031	12775036
0000036405-25-000243	918328	Pershing LLC	ZI8Q1A8EI8LQFJNM0D94	84534.25
0000036405-25-000243	918330	RBC Dominion Securities Inc	549300QJJX6CVVUXLE15	36185046.26
0000036405-25-000243	918332	Scotia Capital (USA) Inc	549300BLWPABP1VNME36	2514354.96
0000036405-25-000243	918339	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	62233629.18
0000036405-25-000240	918364	CANTOR FITZGERALD	5493004J7H4GCPG6OB62	982150.99
0000036405-25-000240	918370	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807	16869644.42
0000036405-25-000240	918371	Jefferies LLC	58PU97L1C0WSRCWADL48	3366972
0000036405-25-000240	918372	Marex Capital Markets Inc	5493006BWPDUCYG6EQ34	1115994
0000036405-25-000240	918384	Velocity Clearing LLC	984500T997U2DFD6C761	435660
0001004726-25-002059	918499	National Financial Services LLC	549300JRHF1MHHWUAW04	19815390.29
0001004726-25-002059	918520	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	123373.26
0000035402-25-001329	911251	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	383779030
0000035402-25-001329	911258	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	381737762.76
0000035402-25-001351	911306	JEFFERIES LLC	58PU97L1C0WSRCWADL48	1059380
0000035402-25-001475	911920	GOLDMAN SACHS and CO LLC (GOV REPO)	FOR8UP27PHTHYVLBNG30	36944832.07
0000035402-25-001475	911921	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	35069400
0002071691-25-004187	913232	BOFA SECURITIES  INC.	549300HN4UKV1E2R3U73	346866.91
0000035402-25-002118	918828	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	6412741.73
0000035402-25-002118	918834	PERSHING LLC	ZI8Q1A8EI8LQFJNM0D94	354300
0000035402-25-002136	918967	GOLDMAN SACHS and CO LLC (GOV REPO)	FOR8UP27PHTHYVLBNG30	10145104
0000035402-25-002136	918971	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	63467601
0000035402-25-002136	918973	JEFFERIES LLC	58PU97L1C0WSRCWADL48	3094321
0000035402-25-002136	918981	SCOTIA CAPITAL (USA) INC.	549300BLWPABP1VNME36	1978683
0000862084-25-000080	919109	BNP Paribas Securities Corp.	RCNB6OTYUAMMP879YW96	104745
0000862084-25-000080	919115	Goldman Sachs & Co. LLC	FOR8UP27PHTHYVLBNG30	1254045.95
0000862084-25-000080	919120	National Financial Services LLC	549300JRHF1MHHWUAW04	462633
0000036405-25-000238	919176	UBS Securities LLC	T6FIZBDPKLYJKFCRVK44	3890802
0000036405-25-000234	918142	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	3375996
0000940400-25-010613	920119	NOMURA SECURITIES INTERNATIONAL INC.	OXTKY6Q8X53C9ILVV871	13113
0000940400-25-010613	920126	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	1806903
0001410368-25-032006	924112	Jefferies LLC	58PU97L1C0WSRCWADL48	9104876.4
0001410368-25-032006	924121	UBS Securities LLC	T6FIZBDPKLYJKFCRVK44	2200840
0001410368-25-032006	924122	BofA Securities, Inc.	549300HN4UKV1E2R3U73	132140890.81
0000777535-25-000042	924201	GOLDMAN SACHS INTERNATIONAL	W22LROWP2IHZNBB6K528	56333054.12
0000777535-25-000042	924212	NATIONAL FINANCIAL SERVICES LLC	549300JRHF1MHHWUAW04	17008611.67
0000777535-25-000042	924198	CITIGROUP GLOBAL MARKETS LIMITED	XKZZ2JZF41MRHTR1V493	8216168.52
0000777535-25-000042	924214	NOMURA SECURITIES INTERNATIONAL, INC.	OXTKY6Q8X53C9ILVV871	150190776.16
0000777535-25-000042	924217	SG AMERICAS SECURITIES, LLC	549300F35UE0BOM1WJ55	502694
0001410368-25-032038	924885	HSBC Bank PLC	MP6I5ZYZBEU3UXPYFY54	373446.92
0001410368-25-032043	924901	Scotia Capital (USA) Inc.	549300BLWPABP1VNME36	3257679.6
0001410368-25-032172	925135	GOLDMAN SACHS & CO.	FOR8UP27PHTHYVLBNG30	20635756.75
0001410368-25-032172	925136	BofA Securities, Inc.	549300HN4UKV1E2R3U73	92290987
0001410368-25-032201	925156	NOMURA SECURITIES INTERNATIONAL INC.	OXTKY6Q8X53C9ILVV871	89845
0001410368-25-017836	908788	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	277428938.1376
0001410368-25-017836	908792	BNP PARIBAS SECURITIES CORP	RCNB6OTYUAMMP879YW96	3626625.0117
0001410368-25-017836	908797	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	40399599.0482
0001410368-25-017836	908803	Pershing LLC	ZI8Q1A8EI8LQFJNM0D94	34064197.6426
0001410368-25-017836	908806	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	345210571.003076
0001410368-25-017836	908814	GOLDMAN SACHS & CO.	FOR8UP27PHTHYVLBNG30	164152762.6904
0000035402-25-001483	911870	GOLDMAN SACHS and CO LLC (GOV REPO)	FOR8UP27PHTHYVLBNG30	17290841.24
0000035402-25-001483	911875	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	191151250.93
0000035402-25-001483	911877	JEFFERIES LLC	58PU97L1C0WSRCWADL48	5721575
0000035402-25-001483	911880	BNP PARIBAS SECURITIES CORP (GOV REPO)	RCNB6OTYUAMMP879YW96	109281781.37
0000035402-25-001483	911882	PERSHING LLC	ZI8Q1A8EI8LQFJNM0D94	5307929
0001410368-25-031990	923993	Natixis Securities Americas LLC	549300L8G1E7ZHVEOG75	352428.9
0001378872-25-000392	913744	BANK OF NEW YORK MELLON	HPFHU0OQ28E4N0NFVK49	856760.16
0001378872-25-000392	913746	Citigroup Global Markets Inc.	MBNUM2BPBDO7JBLYG310	500690356.09
0001193125-25-293305	917103	MORGAN STANLEY & CO. LLC	9R7GPTSO7KV3UQJZQ078	1051226
0001193125-25-293305	917104	BARCLAYS CAPITAL, INC.	AC28XWWI3WIBK2824319	638924039.2741
0002071691-25-003731	910765	Bank of Nova Scotia New York Agency	L3I9ZG2KFGXZ61BMYR72	235172563
0001410368-25-019349	912555	WELLS FARGO SECURITIES LLC	VYVVCKR63DVZZN70PB21	94216.48
0001410368-25-019349	912560	CITIGROUP GLOBAL MARKETS INC	MBNUM2BPBDO7JBLYG310	5692146.60999999
0001410368-25-019349	912565	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	15660980.97999999
0002071691-25-006501	917264	Scotia Capital (USA) INC	549300BLWPABP1VNME36	352223.15
0002071691-25-006501	917265	Cantor Fitzgerald & Co	5493004J7H4GCPG6OB62	2813295.1
0002071691-25-006501	917267	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	4842043.68
0001099263-25-003640	920889	GOLDMAN SACHS INTERNATIONAL	W22LROWP2IHZNBB6K528	5616861.8400000008
0001410368-25-017888	909239	National Bank Financial Inc.	549300D83GR71RNG0O65	36507419.92431
0001410368-25-017888	909241	Wells Fargo Bank, National Association	KB1H1DSPRFMYMCUFXT09	1389275.85522
0001410368-25-017888	909243	BNP PARIBAS SECURITIES CORP	RCNB6OTYUAMMP879YW96	2633643.26634
0001410368-25-017888	909250	DEUTSCHE BANK SECURITIES INC	9J6MBOOO7BECTDTUZW19	8789998.81986
0000777535-25-000037	922093	BNP PARIBAS (NEW YORK BRANCH)	R0MUWSFPU8MPRO8K5P83	252013.2
0000777535-25-000037	922110	UBS AG	BFM8T61CT2L1QCEMIK50	5188.94
0001410368-25-031937	923559	TD Securities (USA) LLC	SUVUFHICNZMP2WKHG940	1000369.89
0001410368-25-031937	923560	J.P. Morgan Securities Plc	K6Q0W1PS1L1O4IQL9C32	161849900.66
0001410368-25-031937	923563	ING Bank N.V.	3TK20IVIUJ8J3ZU0QE75	59903638.41
0001410368-25-017267	908399	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	63552688
0002071691-25-007618	925714	BNP PARIBAS SECURITIES CORP	RCNB6OTYUAMMP879YW96	19134401.153816
0002071691-25-007618	925717	HSBC BANK PLC	MP6I5ZYZBEU3UXPYFY54	15361490.47
0002071691-25-007618	925721	Jefferies LLC	58PU97L1C0WSRCWADL48	21508526.74809
0002071691-25-007618	925724	Natixis Securities Americas LLC	549300L8G1E7ZHVEOG75	23109316.67
0002071691-25-007618	925725	National Bank Financial Inc.	549300D83GR71RNG0O65	13069186.52
0002071691-25-007618	925728	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	27593274.62
0000035402-25-001381	911471	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	94946898.67
0000035402-25-001381	911477	JPMORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	19882110.91
0002071691-25-007652	925972	Natixis Securities Americas LLC	549300L8G1E7ZHVEOG75	67433112.35
0002071691-25-007652	925975	CITADEL CLEARING LLC	5493001I7IJ4CW6Q9N27	7536886.76
0002071691-25-007652	925979	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	6701371478.3716
0002071691-25-007652	925991	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	96457766.825
0002071691-25-007646	926053	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	60534158.04
0002071691-25-007646	926060	CITADEL CLEARING LLC	5493001I7IJ4CW6Q9N27	22284
0002071691-25-007646	926064	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	292037494.65
0000035402-25-001373	911430	WELLS FARGO SECURITIES, LLC(GOV REPO)	VYVVCKR63DVZZN70PB21	327278
0001193125-25-293324	917175	CIBC WORLD MARKETS INC.	549300TDJKVQJ41VN031	180591.48
0001193125-25-293324	917176	TD Prime Services LLC	549300ZBQI1JB1844X09	215184.31
0001193125-25-293324	917188	Citigroup Global Markets Inc.	MBNUM2BPBDO7JBLYG310	40432592.54758
0001193125-25-293324	917199	CITIGROUP GLOBAL MARKETS LIMITED	XKZZ2JZF41MRHTR1V493	24844751.474981
0000052848-25-000265	910934	BNP Paribas Securities Corp.	RCNB6OTYUAMMP879YW96	18688981
0000052848-25-000265	910935	Jefferies LLC	58PU97L1C0WSRCWADL48	4299450
0000752177-25-000253	918112	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807	2640960
0000752177-25-000253	918113	Jefferies LLC	58PU97L1C0WSRCWADL48	2106480
0000036405-25-000236	918169	BofA Securities Inc	549300HN4UKV1E2R3U73	7255254
0000036405-25-000236	918171	Goldman Sachs & Co. LLC	FOR8UP27PHTHYVLBNG30	10420626
0000036405-25-000236	918172	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807	19636848.84
0000036405-25-000236	918173	RBC Capital Markets LLC	549300LCO2FLSSVFFR64	3198426
0000036405-25-000236	918168	Barclays Capital Inc	AC28XWWI3WIBK2824319	40213664.16
0001193125-25-251567	909588	WELLS FARGO SECURITIES LLC	VYVVCKR63DVZZN70PB21	5880000
0000923202-25-000082	918209	Barclays Capital Inc	AC28XWWI3WIBK2824319	190058142.5
0000923202-25-000082	918213	HSBC Bank PLC	MP6I5ZYZBEU3UXPYFY54	47664680.82
0000923202-25-000082	918215	JP Morgan Securities PLC	K6Q0W1PS1L1O4IQL9C32	163603901.4
0000923202-25-000082	918223	State Street Bank and Trust Company	571474TGEMMWANRLN572	800208.64
0000036405-25-000235	918254	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871	36979291
0000036405-25-000235	918255	Pershing LLC	ZI8Q1A8EI8LQFJNM0D94	1511574
0000036405-25-000235	918258	SG Americas Securities LLC	549300F35UE0BOM1WJ55	19533166.48
0000036405-25-000235	918265	Velocity Clearing LLC	984500T997U2DFD6C761	4941392.26
0000036405-25-000235	918236	Barclays Capital Inc	AC28XWWI3WIBK2824319	691572268.5
0000036405-25-000235	918237	BofA Securities Inc	549300HN4UKV1E2R3U73	470873664.2
0000036405-25-000242	918272	CIBCI	549300TDJKVQJ41VN031	30889310
0000036405-25-000242	918273	Canadian Imperial Bank of Commerce New York Branch	549300H8L46OOZOFHU82	13709557
0000036405-25-000242	918283	National Financial Services LLC	549300JRHF1MHHWUAW04	50126763.71
0000036405-25-000242	918284	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871	15714819
0001004726-25-002043	918562	BMO Capital Markets	RUC0QBLBRPRCU4W1NE59	1517744
0001004726-25-002043	918568	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	8702536.21
0001004726-25-002043	918575	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	7748227.6
0001004726-25-002043	918578	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	443437.32
0001193125-25-293319	917134	Virtu AMERICAS LLC	549300RA02N3BNSWBV74	1206658.01636
0001193125-25-293319	917139	UBS AG LONDON BRANCH	BFM8T61CT2L1QCEMIK50	57863895.83518
0002071691-25-006423	917154	CLEAR STREET LLC	549300KNQS43Y7TO3X67	521274
0002071691-25-006423	917160	UBS Securities LLC.	T6FIZBDPKLYJKFCRVK44	8742719.64
0002071691-25-006423	917165	HSBC BANK PLC	MP6I5ZYZBEU3UXPYFY54	507640.68
0001004726-25-002038	918396	National Financial Services LLC	549300JRHF1MHHWUAW04	20662055.060082
0001004726-25-002038	918397	Wells Fargo Bank, National Association	KB1H1DSPRFMYMCUFXT09	11971797
0001004726-25-002038	918406	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	30107164.24
0001004726-25-002038	918408	Jefferies LLC	58PU97L1C0WSRCWADL48	282673
0001004726-25-002038	918410	UBS AG	BFM8T61CT2L1QCEMIK50	127212473.38
0001004726-25-002038	918418	TD Prime Services LLC	549300ZBQI1JB1844X09	7256163.61
0001410368-25-017278	908464	MIZUHO SECURITIES USA LLC	7TK5RJIZDFROZCA6XF66	306820
0001410368-25-017275	908433	Wells Fargo Securities, LLC	VYVVCKR63DVZZN70PB21	414
0000940400-25-010642	920257	BMO Capital Markets	RUC0QBLBRPRCU4W1NE59	1236109.6
0000940400-25-010634	920216	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	1356454.15
0000940400-25-010634	920217	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	395239.36
0000035402-25-002272	920527	GOLDMAN SACHS and CO LLC (GOV REPO)	FOR8UP27PHTHYVLBNG30	8149005
0001099263-25-003622	920543	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	9951.92
0001099263-25-003622	920549	NATIXIS SECURITIES AMERICAS, LLC	549300L8G1E7ZHVEOG75	52590
0001410368-25-017274	908435	BNP Paribas Securities Corp	RCNB6OTYUAMMP879YW96	16987887.38
0001410368-25-017274	908441	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871	43409553.18
0000035402-25-001446	911687	GOLDMAN SACHS and CO LLC (GOV REPO)	FOR8UP27PHTHYVLBNG30	48498689.42
0000940400-25-010641	920580	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	32030296.02
0000940400-25-010641	920581	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	1550226.72
0000052848-25-000264	910898	Jefferies LLC	58PU97L1C0WSRCWADL48	1086640
0000052848-25-000264	910899	BofA Securities Inc	549300HN4UKV1E2R3U73	34371554
0000035402-25-001335	911242	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	6272326
0001410368-25-031954	923857	Barclays Bank PLC	G5GSEF7VJP5I7OUK5573	155384364.61
0000777535-25-000040	923874	SCOTIA CAPITAL (USA) INC.	549300BLWPABP1VNME36	1516065.35
0002071691-25-007634	925746	UBS AG	BFM8T61CT2L1QCEMIK50	44573478
0002071691-25-007634	925749	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	89509013.84
0002071691-25-007634	925755	National Financial Services LLC	549300JRHF1MHHWUAW04	69218234
0002071691-25-007634	925762	VIRTU AMERICAS, LLC	549300RA02N3BNSWBV74	48748338
0002071691-25-007667	926174	MIZUHO SECURITIES USA INC.	7TK5RJIZDFROZCA6XF66	26879604
0000035402-25-001386	911447	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	349409089.97
0000035402-25-001386	911449	SG AMERICAS SECURITIES LLC	549300F35UE0BOM1WJ55	3735022
0000035402-25-001386	911461	BMO CAPITAL MARKETS CORP	RUC0QBLBRPRCU4W1NE59	14019038.42
0000035402-25-001416	911490	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	13000721.3
0000035402-25-001416	911495	TD PRIME SERVICES LLC	549300ZBQI1JB1844X09	10681439.25
0000035402-25-001441	911645	CANADIAN IMPRL BK COMM NY BRH	549300H8L46OOZOFHU82	774929.68
0000035402-25-001441	911647	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	92004775.89
0000035402-25-001441	911657	MIZUHO SECURITIES USA LLC.	7TK5RJIZDFROZCA6XF66	446934
0001410368-25-032041	924863	BofA Securities, Inc.	549300HN4UKV1E2R3U73	222712
0001410368-25-032289	925546	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871	9123830.6
0001410368-25-032289	925548	HSBC Bank PLC	MP6I5ZYZBEU3UXPYFY54	11290.24
0001410368-25-032289	925553	J.P. Morgan Securities LLC	ZBUT11V806EZRVTWT807	2111887.4
0001410368-25-032289	925562	Scotia Capital (USA) Inc.	549300BLWPABP1VNME36	6351525.87
0000035402-25-001485	911890	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	149897565
0002071691-25-007832	927264	MORGAN STANLEY & CO. LLC	9R7GPTSO7KV3UQJZQ078	519653.06
0002071691-25-007832	927266	BOFA SECURITIES, INC.	549300HN4UKV1E2R3U73	28298768.17
0001410368-25-032903	928914	NATL BK OF CAD FINANCIAL INC.	549300K66TF1ST7A3V76	103933.7
0001410368-25-032903	928915	MORGAN STANLEY & CO. LLC	9R7GPTSO7KV3UQJZQ078	4179748.25
0001004726-25-003417	937564	CIBC WORLD MARKETS INC.	549300TDJKVQJ41VN031	44974250.41999997
0001004726-25-003417	937565	BNP PARIBAS PB INTL LTD	549300KUN9K9K32C6D97	49695395.96999995
0001004726-25-003417	937569	BMO CAPITAL MARKETS CORP	RUC0QBLBRPRCU4W1NE59	3363226.02
0001004726-25-003417	937575	H.S.B.C.  BANK PLC	MP6I5ZYZBEU3UXPYFY54	90020651.91999993
0001004726-25-003417	937579	UBS AG LONDON	BFM8T61CT2L1QCEMIK50	17.53
0001004726-25-003417	937582	CIBC  NEW YORK	2IGI19DL77OX0HC3ZE78	2737893.67999999
0001004726-25-003417	937590	BARCLAYS CAPITAL INC	AC28XWWI3WIBK2824319	4202787.95999999
0000035402-25-003013	935690	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	264347152.43
0000035402-25-003013	935699	MIZUHO SECURITIES USA LLC.	7TK5RJIZDFROZCA6XF66	25976447.92
0001410368-25-043408	938926	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	20109219.14
0001084380-25-000525	940718	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	910715.48
0001084380-25-000525	940727	NOMURA SECURITIES INTERNATIONAL, INC.	OXTKY6Q8X53C9ILVV871	11707646.13
0001410368-25-040405	930551	BMO Capital Markets Corp. 5221	RUC0QBLBRPRCU4W1NE59	35584684.94
0001410368-25-040405	930552	BMO Nesbitt Burns	M3LKFDNSJGJ7TMLH6Z15	695019
0001410368-25-040405	930559	Goldman NY Enhanced GC 2	FOR8UP27PHTHYVLBNG30	26135030
0001410368-25-040405	930560	ING Financial Mkts LLC	KBVRJ5K57JZ3E2AVWX40	7802313
0001410368-25-042035	933174	BofA Securities, Inc.	549300HN4UKV1E2R3U73	928750
0001410368-25-042035	933175	Citigroup Global Markets Inc.	MBNUM2BPBDO7JBLYG310	2096300.2
0001410368-25-042035	933179	UBS AG	BFM8T61CT2L1QCEMIK50	48790896.6
0001410368-25-040419	930667	Goldman Sachs International	W22LROWP2IHZNBB6K528	3656498.96
0001410368-25-040419	930678	UBS Securities LLC (NY)	T6FIZBDPKLYJKFCRVK44	1642032
0001410368-25-040425	930749	Citadel Securities LLC	12UUJYTN7D3SW8KCSG25	9781.2
0001410368-25-040425	930751	Clear Street LLC	549300KNQS43Y7TO3X67	6938680
0001410368-25-040425	930753	Goldman Sachs & Co. LLC	FOR8UP27PHTHYVLBNG30	4040
0001410368-25-040425	930755	ING Financial Mkts LLC	KBVRJ5K57JZ3E2AVWX40	369380
0001410368-25-040425	930756	Jefferies LLC	58PU97L1C0WSRCWADL48	592787.3
0001410368-25-040425	930765	UBS Securities LLC (NY)	T6FIZBDPKLYJKFCRVK44	19223
0001410368-25-040424	930687	BMO CAPITAL MARKETS CORP	RUC0QBLBRPRCU4W1NE59	35077422.10999999
0001410368-25-040424	930702	MACQUARIE BANK LIMITED	4ZHCHI4KYZG2WVRT8631	3862260.84999999
0001410368-25-040424	930706	MORGAN STANLEY & CO. LLC	9R7GPTSO7KV3UQJZQ078	190250088.29999986
0001410368-25-040424	930720	WELLS FARGO SECURITIES LLC	VYVVCKR63DVZZN70PB21	6494695.12
0001410368-25-040430	930798	BARCLAYS CAPITAL SEC LTD	K9WDOH4D2PYBSLSOB484	232550114.6399988
0001410368-25-040430	930802	BNP PARIBAS SECURITIES CORP	RCNB6OTYUAMMP879YW96	10936483.80999999
0001410368-25-040430	930805	CITIGROUP GLOBAL MARKETS LTD	XKZZ2JZF41MRHTR1V493	8604728.66999999
0001410368-25-040430	930809	GOLDMAN SACHS INTL	W22LROWP2IHZNBB6K528	440562308.7799967
0001410368-25-040430	930810	H.S.B.C. BANK PLC	MP6I5ZYZBEU3UXPYFY54	79576933.68999995
0001410368-25-040430	930815	MACQUARIE BANK LIMITED	4ZHCHI4KYZG2WVRT8631	18875216.68999999
0001410368-25-040430	930828	UBS AG LONDON	BFM8T61CT2L1QCEMIK50	67208790.54999999
0001410368-25-040430	930831	WELLS FARGO SECURITIES LLC	VYVVCKR63DVZZN70PB21	22581875.11999999
0002071691-25-009466	932208	DEUTSCHE BANK SECURITIES INC	9J6MBOOO7BECTDTUZW19	39903120
0001193125-25-301782	928146	BARCLAYS CAPITAL, INC.	AC28XWWI3WIBK2824319	4676352
0001193125-25-334202	938488	BARCLAYS CAPITAL, INC.	AC28XWWI3WIBK2824319	20511792
0000035402-25-002946	935200	JPMORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	2747623
0001193125-25-334203	938505	NATIONAL FINANCIAL SERVICES LLC	549300JRHF1MHHWUAW04	6649200
0001410368-25-043395	938974	BofA Securities, Inc.	549300HN4UKV1E2R3U73	82000384.230681
0001410368-25-043395	938986	National Financial Services LLC	549300JRHF1MHHWUAW04	2212725
0000857489-25-000151	934008	Scotia Capital (USA) Inc	549300BLWPABP1VNME36	172131.84
0001410368-25-042012	933154	Barclays Capital Inc.	AC28XWWI3WIBK2824319	206663.86
0001410368-25-042012	933162	UBS AG LONDON	BFM8T61CT2L1QCEMIK50	2327887.84
0001410368-25-043505	939558	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	37611114.344766
0001410368-25-043505	939569	NOMURA SECURITIES INTERNATIONAL INC.	OXTKY6Q8X53C9ILVV871	7449474.3678
0001410368-25-043505	939570	National Financial Services LLC	549300JRHF1MHHWUAW04	519843
0000857489-25-000149	933944	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	4148751
0000857489-25-000149	933950	TD Prime Services, Inc.	549300ZBQI1JB1844X09	490232
0001193125-25-334200	938567	MACQUARIE BANK LIMITED (LONDON BRANCH)	4ZHCHI4KYZG2WVRT8631	111566.930656
0001193125-25-334200	938580	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	7153644
0001410368-25-043387	938834	BMO Capital Markets	RUC0QBLBRPRCU4W1NE59	32714803.51179
0001410368-25-043387	938836	BNP PARIBAS SECURITIES CORP	RCNB6OTYUAMMP879YW96	76072728.73986
0001410368-25-043387	938841	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	443519672.067785
0001410368-25-043387	938843	MORGAN STANLEY & CO. LLC (US EQUITY SEC LENDING)	9R7GPTSO7KV3UQJZQ078	222686306.99811087
0001410368-25-043387	938850	Scotia Capital (USA) Inc	549300BLWPABP1VNME36	237389636.3238
0001410368-25-043382	939053	BofA Securities, Inc.	549300HN4UKV1E2R3U73	23323914.686827
0000736054-25-000149	933966	National Financial Services LLC	549300JRHF1MHHWUAW04	9625649.77
0000736054-25-000149	933968	BMO Capital Markets Corp.	RUC0QBLBRPRCU4W1NE59	65002031.28
0000736054-25-000149	933969	State Street Bank and Trust Company	571474TGEMMWANRLN572	58029970.14
0000736054-25-000149	933970	SG Americas Securities LLC	549300F35UE0BOM1WJ55	3245158.11
0001084380-25-000533	940822	BANK OF NOVA SCOTIA	L3I9ZG2KFGXZ61BMYR72	2148852.61
0001084380-25-000533	940829	BNP PARIBAS FINANCIAL MARKETS	6EWKU0FGVX5QQJHFGT48	2751355.52
0000035402-25-003068	935609	GOLDMAN SACHS and CO LLC (GOV REPO)	FOR8UP27PHTHYVLBNG30	13696064
0000035402-25-003068	935611	CANADIAN IMPRL BK COMM NY BRH	549300H8L46OOZOFHU82	639714
0000035402-25-003068	935613	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	20275630.65
0000035402-25-003068	935614	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	11191575
0001193125-25-334136	938482	Virtu AMERICAS LLC	549300RA02N3BNSWBV74	176585.395782
0001209466-25-000763	941298	UBS AG	BFM8T61CT2L1QCEMIK50	7441892
