ACCESSION_NUMBER	BORROWER_ID	NAME	LEI	AGGREGATE_VALUE
0000857489-25-000149	933948	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871	5642014.47
0001193125-25-334200	938570	Virtu AMERICAS LLC	549300RA02N3BNSWBV74	95785.687121
0001193125-25-334200	938571	JEFFERIES LLC	58PU97L1C0WSRCWADL48	2462305
0001193125-25-334200	938576	GOLDMAN SACHS & CO. LLC	FOR8UP27PHTHYVLBNG30	12975448.010559
0001410368-25-043387	938846	National Bank Financial Inc.	549300D83GR71RNG0O65	11472982.224
0001410368-25-043382	939051	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	3364817.29692
0001410368-25-043382	939056	HSBC BANK PLC	MP6I5ZYZBEU3UXPYFY54	14292542.950258
0000736054-25-000149	933984	Barclays Capital Inc	AC28XWWI3WIBK2824319	415740951.4
0000736054-25-000149	933987	Macquarie Bank Ltd	4ZHCHI4KYZG2WVRT8631	309342379.7
0001084380-25-000533	940824	BMO CAPITAL MARKETS CORP.	RUC0QBLBRPRCU4W1NE59	70574057.99
0001084380-25-000533	940825	MACQUARIE BANK LIMITED	549300MPRNPO6FWNKN78	4527527.25
0001084380-25-000533	940830	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	11287402.3
0001084380-25-000533	940833	BOFA SECURITIES, INC.	549300HN4UKV1E2R3U73	81773648.1
0000035402-25-003068	935620	BNP PARIBAS SECURITIES CORP (GOV REPO)	RCNB6OTYUAMMP879YW96	17645868.51
0000035402-25-003068	935621	JPMORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	5170105
0000035402-25-003068	935625	NATIONAL FINANCIAL SERVICES, LLC	549300JRHF1MHHWUAW04	336521
0001209466-25-000763	941291	Raymond James & Associates, Inc.	U4ONQX15J3RO8XCKE979	642957.07
0001209466-25-000763	941297	NATIONAL BANK OF CANADA FINANCIAL INC	549300K66TF1ST7A3V76	23569429.42
0000734383-25-000145	934035	BNP Paribas Securities Corp.	RCNB6OTYUAMMP879YW96	39972905
0000734383-25-000145	934036	Jefferies LLC	58PU97L1C0WSRCWADL48	1012286
0000734383-25-000145	934042	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807	31477952
0000940400-25-014474	934127	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	12753116.74
0000940400-25-014474	934129	J.P. Morgan Securities LLC	ZBUT11V806EZRVTWT807	170609456.51
0000940400-25-014474	934134	RBC CAPITAL MARKETS, LLC	549300LCO2FLSSVFFR64	8558066.55
0000857489-25-000152	933951	Morgan Stanley & Co. LLC	9R7GPTSO7KV3UQJZQ078	8508264.53
0000857489-25-000152	933953	SG Americas Securities LLC	549300F35UE0BOM1WJ55	361538.97
0000898745-25-000869	932629	BANK OF NEW YORK MELLON	HPFHU0OQ28E4N0NFVK49	64543196.44
0000035402-25-002869	934477	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	1416714
0000035402-25-002972	935211	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	45583942.21
0000035402-25-002972	935216	TD PRIME SERVICES LLC	549300ZBQI1JB1844X09	44734
0001410368-25-041987	933099	GOLDMAN SACHS & CO. LLC	FOR8UP27PHTHYVLBNG30	2582268.34
0002071691-25-009449	932235	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	51218819.258344
0002071691-25-009449	932241	TD Securities (USA) LLC	SUVUFHICNZMP2WKHG940	661948.248
0002071691-25-009449	932252	BofA Securities, Inc.	549300HN4UKV1E2R3U73	10774556.298
0001004726-25-003167	933516	National Financial Services LLC	549300JRHF1MHHWUAW04	3777328
0001004726-25-003167	933521	UBS AG	BFM8T61CT2L1QCEMIK50	15100370.56
0001410368-25-017881	909060	MORGAN STANLEY & CO. INTERNATIONAL PLC	4PQUHN3JPFGFNF3BB653	1363913966.029567
0001410368-25-017881	909062	BNP PARIBAS PRIME BROKERAGE INTERNATIONAL LIMITED	549300KUN9K9K32C6D97	1568326
0001410368-25-017881	909063	J.P. MORGAN SECURITIES PLC	K6Q0W1PS1L1O4IQL9C32	282196952.194937
0001410368-25-017881	909068	MORGAN STANLEY & CO LLC	9R7GPTSO7KV3UQJZQ078	159392129.923611
0001410368-25-017881	909069	MERRILL LYNCH INTERNATIONAL	GGDZP1UYGU9STUHRDP48	136056646.467
0001410368-25-017881	909072	NOMURA SECURITIES INTERNATIONAL INC.	OXTKY6Q8X53C9ILVV871	16731535.9005
0000035402-25-001478	911903	CANADIAN IMPRL BK COMM NY BRH	549300H8L46OOZOFHU82	102043995
0000036405-25-000237	918147	CIBCI	549300TDJKVQJ41VN031	5040358
0000036405-25-000237	918149	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	26617819
0000036405-25-000237	918155	Morgan Stanley & Co. LLC	9R7GPTSO7KV3UQJZQ078	74001453.24
0000036405-25-000239	918198	Barclays Capital Inc	AC28XWWI3WIBK2824319	15764040.84
0000036405-25-000239	918201	Goldman Sachs & Co. LLC	FOR8UP27PHTHYVLBNG30	4695774
0000036405-25-000239	918204	Scotia Capital (USA) Inc	549300BLWPABP1VNME36	451999.74
0000036405-25-000243	918320	HSBC Bank PLC	MP6I5ZYZBEU3UXPYFY54	1029821
0000036405-25-000243	918323	Marex Capital Markets Inc	5493006BWPDUCYG6EQ34	5230480.61
0000036405-25-000243	918334	TD Prime Services, Inc.	549300ZBQI1JB1844X09	20205413
0000036405-25-000240	918368	Clear Street LLC	549300KNQS43Y7TO3X67	1070265.66
0001004726-25-002059	918505	SG AMERICAS SECURITIES LLC	549300F35UE0BOM1WJ55	50849.37
0001004726-25-002059	918508	HSBC BANK PLC	MP6I5ZYZBEU3UXPYFY54	110053453.13
0001004726-25-002059	918513	UBS AG	BFM8T61CT2L1QCEMIK50	33393926.68
0001004726-25-002059	918516	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	64817235.2
0000035402-25-001329	911255	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	175861113
0000035402-25-001329	911257	JEFFERIES LLC	58PU97L1C0WSRCWADL48	84865133
0000035402-25-001351	911302	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	2311582
0000035402-25-001475	911928	TD PRIME SERVICES LLC	549300ZBQI1JB1844X09	120320
0000035402-25-001475	911931	UBS SECURITIES LLC.	T6FIZBDPKLYJKFCRVK44	842240
0002071691-25-004187	913236	NOMURA SECURITIES INTL INC	OXTKY6Q8X53C9ILVV871	201427
0000035402-25-002118	918827	CANADIAN IMPRL BK COMM NY BRH	549300H8L46OOZOFHU82	35187
0000035402-25-002118	918836	NATIONAL FINANCIAL SERVICES, LLC	549300JRHF1MHHWUAW04	2342522
0000035402-25-002136	918979	UBS SECURITIES LLC.	T6FIZBDPKLYJKFCRVK44	2309769
0000862084-25-000080	919121	SG Americas Securities LLC	549300F35UE0BOM1WJ55	231966
0000036405-25-000234	918141	BofA Securities Inc	549300HN4UKV1E2R3U73	3139560
0000940400-25-010613	920129	BNP PARIBAS SECURITIES CORP	RCNB6OTYUAMMP879YW96	144363493.02
0001193125-25-293563	917528	MORGAN STANLEY & CO. LLC	9R7GPTSO7KV3UQJZQ078	50474133.86
0001193125-25-293563	917530	GOLDMAN SACHS & CO. LLC	FOR8UP27PHTHYVLBNG30	39728.71
0001193125-25-293563	917532	J.P. MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	9653475.05
0000777535-25-000042	924191	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	97076605.41
0000777535-25-000042	924192	BMO CAPITAL MARKETS CORP.	RUC0QBLBRPRCU4W1NE59	40742609.44
0000777535-25-000042	924202	HSBC BANK PLC	MP6I5ZYZBEU3UXPYFY54	18682053.96
0000777535-25-000042	924213	NATIXIS SECURITIES AMERICAS, LLC	549300L8G1E7ZHVEOG75	18381697.42
0000777535-25-000042	924194	BNP PARIBAS SECURITIES CORPORATION	RCNB6OTYUAMMP879YW96	112180542.2
0000777535-25-000042	924199	DEUTSCHE BANK SECURITIES INC.	9J6MBOOO7BECTDTUZW19	3991775.95
0000777535-25-000042	924216	SCOTIA CAPITAL (USA) INC.	549300BLWPABP1VNME36	14070225.07
0001410368-25-032043	924896	BofA Securities, Inc.	549300HN4UKV1E2R3U73	6088276.37
0001410368-25-032172	925130	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	129524894.99
0001410368-25-032172	925132	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	3712384
0001410368-25-032201	925162	BofA Securities, Inc.	549300HN4UKV1E2R3U73	568413461.94
0001410368-25-032201	925177	Natixis Securities Americas LLC	549300L8G1E7ZHVEOG75	11986364.2
0001410368-25-017836	908795	RBC Capital Markets LLC	549300LCO2FLSSVFFR64	236671996.9711
0000035402-25-001483	911872	CANADIAN IMPRL BK COMM NY BRH	549300H8L46OOZOFHU82	4254592
0000035402-25-001483	911885	SCOTIA CAPITAL (USA) INC.	549300BLWPABP1VNME36	2474142.91
0001378872-25-000392	913741	BNP Paribas Prime Brokerage Intl Ltd	549300KUN9K9K32C6D97	51702353
0001378872-25-000392	913742	CANADIAN IMPERIAL BANK OF COMMERCE	2IGI19DL77OX0HC3ZE78	61280
0001378872-25-000392	913750	TD Securities (USA) Inc.	SUVUFHICNZMP2WKHG940	193617
0001193125-25-293318	917114	MORGAN STANLEY & CO. INTERNATIONAL PLC	4PQUHN3JPFGFNF3BB653	7654092.968316
0001193125-25-293318	917115	BOFA SECURITIES, INC.	549300HN4UKV1E2R3U73	38871704.97
0001193125-25-293318	917118	BNP PARIBAS FINANCIAL MARKETS	6EWKU0FGVX5QQJHFGT48	6521958.991178
0001193125-25-293318	917122	UBS AG LONDON BRANCH	BFM8T61CT2L1QCEMIK50	929948.41464
0001193125-25-293318	917126	NOMURA SECURITIES INTERNATIONAL, INC.	OXTKY6Q8X53C9ILVV871	32991179.922704
