HOLDING_ID	PAYOFF_PROFILE	EXPIRATION_DATE	NOTIONAL_AMOUNT	CURRENCY_CODE	UNREALIZED_APPRECIATION
159748176	Short	17-MAR-2027	-32629352.53	GBP	-5095.98
159754450	Short	30-DEC-2025	-48068462.5	USD	-1467837.5
161187372	Long	19-DEC-2025	145703308.8	USD	-2118308.8
160911489	Short	10-DEC-2025	-317074582.59	EUR	-2062311.41
158528351	Long	19-DEC-2025	20068319.917073	USD	147930.082927
156363317	Short	31-DEC-2025	-129334594.14	USD	-641905.86
159268664	Long	29-DEC-2025	497234617.71	GBP	231959.25
160885331	Long	31-DEC-2025	154148625	USD	2665198.07
160885303	Short	10-DEC-2025	-2401765.29	EUR	-35974.75
158149899	Long	19-DEC-2025	97338713.92	USD	536286.08
160443364	Long	19-DEC-2025	40762125.6	USD	-205525.6
157756818	Long	31-DEC-2025	99687656.25	USD	2254142.07
156444759	Long	18-DEC-2025	4500660.88	CAD	28656.6
156391903	Long	31-DEC-2025	57835920.83	USD	308579.17
159371173	Long	17-MAR-2026	589914062.5	USD	-2774086
158265951	Long	19-DEC-2025	143195941.58	USD	428698.42
159110059	Long	19-DEC-2025	1149293812.5	USD	13797189.37
159300196	Long	18-DEC-2025	502440612.2	CAD	10422329.17
157663293	Long	31-DEC-2025	2144925000	USD	-1900385.62
156388056	Long	19-SEP-2025	4289005.54	USD	272894.46
161020670	Long	11-DEC-2025	34130734172	JPY	13595383.5
160406301	Short	19-DEC-2025	-312147950.72	USD	-8762236.78
158308141	Long	19-DEC-2025	247506966.57	USD	1826783.43
156397793	Short	08-DEC-2025	-994508.99	EUR	-882.44
160642753	Long	19-DEC-2025	146228973.73	USD	4160986.27
159181550	Short	31-DEC-2025	-2458524445.31	USD	-1494274.7
159268199	N/A	09-DEC-2025		EUR	
159754322	Short	21-NOV-2025	-24265900	USD	163460
159747751	Long	31-OCT-2025	403635337.82	HKD	4552312.16
159750066	Short	29-JAN-2026	-11060360	USD	-120630
159751674	Short	02-FEB-2026	-3195480	USD	3620
155862349	Long	19-SEP-2025	71036276.01	USD	163973.99
159187672	Short	14-SEP-2026	-30139612.5	EUR	30305.64
159184310	Short	08-DEC-2025	-98748160	EUR	-329486.56
159162512	Long	19-NOV-2025	404233.2	USD	-50356.43
157666249	Long	17-DEC-2025	2794762187.5	USD	-5416925.07
159751365	Long	31-OCT-2025	40595435	USD	-41890
159753541	Short	15-DEC-2025	-6471987.5	USD	223587.5
156084179	Short	31-DEC-2025	-313203437.5	USD	821080.56
160911516	Long	06-JAN-2026	4189624620.61	USD	-5874568.11
157663180	Short	18-MAR-2026	-12981576487.5	USD	-18478624.9
158579726	Long	31-DEC-2025	1231983538.47	USD	1923498.43
159086266	Long	19-DEC-2025	2202960367.02	USD	67781695.48
156397980	Long	08-SEP-2025	11482837.48	EUR	-147206.02
159172524	Short	19-DEC-2025	-2912782890.63	USD	13694262.41
157928071	Long	19-DEC-2025	951814	USD	23556
157927771	Long	19-DEC-2025	3069452.64	USD	47067.36
160885285	Long	10-DEC-2025	341053598.64	EUR	879485.81
159752572	Short	15-DEC-2025	-13786050	USD	612990
157672751	Long	06-JAN-2026	24250909665.92	USD	-883126.67
158882578	Long	19-DEC-2025	120857394.06	USD	303155.94
160440866	Long	11-DEC-2025	744153180.44	JPY	48550994.87
159371570	Long	31-DEC-2025	199027448.76	USD	287091.43
159275487	Short	08-DEC-2025	-469241375.42	EUR	517384.36
159036039	Long	19-DEC-2025	107129939.54	USD	1026997.96
159750339	Short	20-OCT-2025	-92557368.72	EUR	-561740.12
159754464	Long	22-DEC-2025	77254343.75	USD	426093.75
159746906	Short	22-DEC-2025	-84838950	USD	1040850
156614928	Long	31-DEC-2025	2471086500	USD	10182560
160446929	Long	18-DEC-2025	272017057.32	AUD	-684695.1
160380238	Long	19-DEC-2025	3906279.08	USD	355320.92
156350248	Long	19-SEP-2025	194095524.79	USD	3323350.21
158369878	Short	19-DEC-2025	-635661301.8	USD	-8900135.7
158580767	Long	31-DEC-2025	13855794460.73	USD	2701666.27
160385500	Short	15-DEC-2025	-73477467.7	JPY	567516.71
159370937	Short	16-JUN-2026	-2821733100	USD	7080853.12
158181485	Long	19-DEC-2025	2308175.91	USD	-7835.91
156419956	Short	08-DEC-2025	-4161568.06	EUR	-16869.23
159171220	Short	28-NOV-2025	-33599400	USD	664698.84
157928110	Long	19-DEC-2025	644506.58	USD	-6746.58
159747426	Short	01-JAN-2026	-6245429.4	USD	12293.4
159747125	Short	15-JUN-2027	-80699727.14	EUR	24724.13
159751188	Short	26-NOV-2025	-6090110	USD	-117890
157672743	Short	18-MAR-2026	-15728961862.5	USD	-21813014.89
158233770	Long	19-DEC-2025	1122012471.59	USD	4032653.41
159646975	Long	06-JAN-2026	2372045633.2	USD	-888205.64
157914151	Short	19-DEC-2025	892897156.91	USD	-9775655.59
156368874	Long	18-DEC-2025	27609823.5	CAD	175797.25
161041790	Long	27-NOV-2025	25449126.52	SGD	-101788.78
156357760	Short	19-DEC-2025	-338528091.38	USD	-1944189.87
156270565	Short	19-SEP-2025	-152744770.19	USD	-4534809.81
160532231	Long	19-DEC-2025	3602609898.37	USD	12242027.67
159169518	Long	08-DEC-2025	810179370	EUR	252767.89
158217989	Long	08-DEC-2025	1099075.8	EUR	-287.5
159039770	Long	19-DEC-2025	18542708.39	USD	-139988.39
158217893	Long	11-DEC-2025	452796132.98	JPY	3020791.26
159754532	Short	16-DEC-2026	-360047937.5	USD	-234062.5
159751048	Long	19-DEC-2025	10215918.75	USD	45600
157912713	Long	29-DEC-2025	908273433.97	GBP	921014.4
158220082	Long	19-DEC-2025	29111913.15	USD	201649.35
156084167	Long	06-JAN-2026	6727292562.5	USD	25466634.87
157663284	Long	31-DEC-2025	1108340187.5	USD	25312343.34
156394149	Long	31-DEC-2025	168510467.23	USD	235556.21
159343005	Long	19-DEC-2025	2756622640.63	USD	74573931.82
158505415	Long	18-DEC-2025	45966318.56	USD	84770.07
158496522	Long	15-SEP-2026	223541709.25	USD	100165.75
156370195	Short	19-DEC-2025	-2804951.52	USD	10451.52
156349110	Long	31-DEC-2025	712872973.72	USD	3476026.28
160323603	Long	19-DEC-2025	9040491.64	USD	47643.36
156421001	Long	19-DEC-2025	77268047.94	USD	350139.56
156406915	Long	31-DEC-2025	904010211.07	USD	1461343.62
160904416	Short	10-DEC-2025	-32306036.32	EUR	-73973.88
159342951	Long	14-MAR-2028	1754333100	USD	16133721.49
157667659	Long	10-DEC-2025	379397580.39	EUR	-470147.68
160440406	Long	19-DEC-2025	16823088.02	GBP	624751.9
158180638	Long	19-DEC-2025	295406417.28	USD	4131020.22
156361912	Long	19-SEP-2025	13022576.53	USD	337273.47
157666211	Long	17-JUN-2026	1824005335.2	CAD	6623894.6
157666220	Short	10-DEC-2025	-306309551.34	EUR	-4203425.59
160438267	Long	19-DEC-2025	27150273.46	USD	487616.54
160885306	Short	10-DEC-2025	-77681290.98	EUR	-1853727.76
160884506	Long	31-DEC-2025	375361188.68	GBP	12045902.75
159755043	Short	01-DEC-2025	-16456948.2	USD	32806.2
159753843	Short	14-DEC-2027	-64212698.18	EUR	16637.29
159747196	Short	15-DEC-2025	-54873720	USD	1869930
159750138	Short	23-FEB-2026	-429840	USD	320
159748239	Short	15-DEC-2025	-16721710	USD	41410
156084173	Short	31-DEC-2025	-65008250	USD	-89475.25
160888901	Short	31-DEC-2025	-268497090.04	USD	619453.43
158238222	Long	19-DEC-2025	14799099.8	USD	141950.2
155859719	Long	19-SEP-2025	36706914.52	USD	765835.48
156389746	Long	19-SEP-2025	664145828.68	USD	31998433.82
159098228	Long	19-DEC-2025	130369967.08	USD	1709532.92
161041784	Short	21-NOV-2025	-846026579.14	SEK	-549377.26
161041772	Short	31-DEC-2025	-804585795.5	USD	1213096.51
161020679	Long	19-DEC-2025	135880354.33	GBP	8242773.35
158471048	Long	19-DEC-2025	8476152.05	USD	89957.95
159167884	Long	16-JUN-2026	522306250	USD	-78634.32
157927359	Long	19-DEC-2025	205893.65	USD	2823.85
159434493	Long	31-DEC-2025	32878613975.49	USD	59332495.64
159269499	Short	08-DEC-2025	-821037297.24	EUR	1081589.29
160911523	Long	31-DEC-2025	50679000	USD	174860.64
