ACCESSION_NUMBER	ASSET_CAT	INSTRUMENT_KIND	NET_REALIZED_GAIN_MON1	NET_UNREALIZED_AP_MON1	NET_REALIZED_GAIN_MON2	NET_UNREALIZED_AP_MON2	NET_REALIZED_GAIN_MON3	NET_UNREALIZED_AP_MON3
0000035402-25-001351	Interest Rate Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001351	Interest Rate Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001351	Interest Rate Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001351	Interest Rate Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001351	Interest Rate Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001351	Interest Rate Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001351	Interest Rate Contracts		0	0	0	0	0	0
0000035402-25-001351	Other Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001351	Other Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001351	Other Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001351	Other Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001351	Other Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001351	Other Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001351	Other Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001351	Other Contracts		0	0	0	0	0	0
0000035402-25-001373	Commodity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001373	Commodity Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001373	Commodity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001373	Commodity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001373	Commodity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001373	Commodity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001373	Commodity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001373	Commodity Contracts		0	0	0	0	0	0
0000035402-25-001373	Credit Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001373	Credit Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001373	Credit Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001373	Credit Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001373	Credit Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001373	Credit Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001373	Credit Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001373	Credit Contracts		0	0	0	0	0	0
0000035402-25-001373	Equity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001373	Equity Contracts	Future Category	-953445.32	0	-1011757.7	0	0	0
0000035402-25-001373	Equity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001373	Equity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001373	Equity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001373	Equity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001373	Equity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001373	Equity Contracts		-953445.32	0	-1011757.7	0	0	0
0000035402-25-001373	Foreign Exchange Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001373	Foreign Exchange Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001373	Foreign Exchange Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001373	Foreign Exchange Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001373	Foreign Exchange Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001373	Foreign Exchange Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001373	Foreign Exchange Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001373	Foreign Exchange Contracts		0	0	0	0	0	0
0000035402-25-001373	Interest Rate Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001373	Interest Rate Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001373	Interest Rate Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001373	Interest Rate Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001373	Interest Rate Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001373	Interest Rate Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001373	Interest Rate Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001373	Interest Rate Contracts		0	0	0	0	0	0
0000035402-25-001373	Other Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001373	Other Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001373	Other Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001373	Other Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001373	Other Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001373	Other Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001373	Other Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001373	Other Contracts		0	0	0	0	0	0
0000035402-25-001381	Commodity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001381	Commodity Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001381	Commodity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001381	Commodity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001381	Commodity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001381	Commodity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001381	Commodity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001381	Commodity Contracts		0	0	0	0	0	0
0000035402-25-001381	Credit Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001381	Credit Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001381	Credit Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001381	Credit Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001381	Credit Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001381	Credit Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001381	Credit Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001381	Credit Contracts		0	0	0	0	0	0
0000035402-25-001381	Equity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001381	Equity Contracts	Future Category	123187873.59	-84068134.69	-2330672.22	-35512299	-6968511.85	51958998.75
0000035402-25-001381	Equity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001381	Equity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001381	Equity Contracts	Swap Category	0	0	0	0	0	0
