ACCESSION_NUMBER	MONTHLY_TOTAL_RETURN_ID	CLASS_ID	MONTHLY_TOTAL_RETURN1	MONTHLY_TOTAL_RETURN2	MONTHLY_TOTAL_RETURN3
0001193125-25-334094	930791	C000042405	1.87955	2.03239799	1.111698
0001193125-25-334094	930800	C000135756	1.876391	2.07915699	1.110875
0001193125-25-334094	930801	C000148408	1.82774599	1.98919099	1.09342599
0001193125-25-334093	930817	C000179962	1.936415	2.502625	1.55726
0001193125-25-334093	930818	C000189465	1.938536	2.50781399	1.559808
0001193125-25-334095	930839	C000082214	1.999689	2.7368	1.875815
0001193125-25-334095	930842	C000135770	1.950375	2.679416	1.82825
0001193125-25-334095	930843	C000135771	2.01152599	2.75404399	1.88718899
0001193125-25-334095	930847	C000179965	2.05605999	2.785091	1.89440799
0001193125-25-301809	921832	C000077671	3.86	-.16	3.84
0001193125-25-301809	921836	C000177053	3.8	-.22	3.77
0002071691-25-009312	926252	C000015222	3.089964	1.671088	1.037958
0002071691-25-009312	926253	C000118172	3.131749	1.727749	1.109042
0001084380-25-000525	932558	C000033988	1.763668	3.401213	2.116069
0001532203-25-000066	928220	C000109500	.01421	.61546286	1.02532928
0001193125-25-334091	931036	C000078488	1.88404	1.611198	.70479999
0001410368-25-042035	927426	C000028341	.76	2.84	1.83
0001193125-25-301782	921661	C000077650	1.32	1.18	2.33
0001410368-25-039936	924534	C000001973	-.22	3.16	4.05
0001410368-25-039936	924536	C000001975	-.25	3.13	4.02
0001410368-25-039936	924537	C000166746	-.22	3.16	4.05
0001193125-25-334199	931261	C000025720	2.12567	1.832995	.153023
0001193125-25-334199	931265	C000025724	2.233001	1.921004	.224228
0001193125-25-334199	931268	C000025728	2.20949	1.89195799	.212992
0001193125-25-334199	931275	C000164825	2.22212	1.911974	.21075999
0001193125-25-334199	931277	C000189454	2.213594	1.906424	.237008
0001193125-25-334199	931278	C000189455	2.233376	1.91981599	.222074
0001193125-25-334202	931236	C000024452	1.64799199	2.28351499	-.338176
0001193125-25-334202	931239	C000024456	1.60937399	2.24603799	-.357331
0001193125-25-334202	931242	C000024460	1.613624	2.24409799	-.372016
0001193125-25-334214	931455	C000023986	2.619258	1.285525	-.58782699
0001193125-25-334214	931456	C000023987	2.6057	1.295278	-.59113999
0001193125-25-334214	931460	C000023992	2.608544	1.30426599	-.592167
0001193125-25-334214	931467	C000077898	2.708644	1.392956	-.50974
0002071691-25-007741	919684	C000093777	2.621522	.534518	5.928697
0002071691-25-007741	919687	C000070644	2.556323	.457902	5.873907
0001193125-25-334203	931290	C000024463	2.617566	1.51304	.040941
0001193125-25-334203	931301	C000024476	2.62508	1.533746	.03932
0001193125-25-334203	931307	C000189418	2.635799	1.53774399	.04727099
0001193125-25-334203	931308	C000189419	2.630528	1.535751	.053585
0001410368-25-043395	931547	C000119716	4.17	3.68	1.53
0000857489-25-000151	928261	C000105302	4.13843	3.73371292	1.66591625
0001193125-25-334098	930874	C000164846	2.01393999	2.64753099	1.718505
0001193125-25-334098	930875	C000179963	2.042687	2.670459	1.706902
0001532203-25-000068	928331	C000217896	.10314	.54433221	.99664429
0001193125-25-334932	931780	C000017061	1.270619705751	4.490424829408	4.929429113124
0001193125-25-334932	931787	C000214991	1.364008365918	4.593164080022	5.03473711296
0001410368-25-043401	931790	C000121569	3.17	3.7	-2.05
0000857489-25-000149	928228	C000015900	2.97845	5.68755738	1.40391927
0000857489-25-000149	928230	C000015901	2.98507	5.72222689	1.40721196
0001193125-25-334200	931438	C000077878	3.01617799	4.27408999	2.918704
0001193125-25-334200	931444	C000224597	3.01248	4.2629	2.912054
0001099263-25-004484	919603	C000200437	.452631	1.309425	.570024
0002071691-25-010101	932205	C000030896	3.385526	3.648822	-.522155
0000736054-25-000149	928237	C000094036	4.17715	3.63972714	1.5196606
0000736054-25-000149	928242	C000094037	4.16213	3.63179327	1.51937199
0001084380-25-000533	932620	C000162545	2.53884	2.402069	.902201
0001193125-25-334097	931081	C000042423	1.994112	2.676577	1.738666
0001193125-25-334097	931084	C000042426	1.938642	2.67884	1.68460799
0001193125-25-334097	931088	C000135766	1.969297	2.589102	1.669044
0001193125-25-334136	931217	C000189483	1.91708	1.94124799	1.464584
0001099263-25-004447	919292	C000113894	.353673	.419653	.35745
0000106444-25-000232	928159	C000007109	1.06853	.48634052	.29177551
0000106444-25-000232	928160	C000007107	1.05758	.47565768	.28071837
0000734383-25-000145	928280	C000008010	3.40871	.17179791	-2.56494574
0002071691-25-007797	919891	C000173562	.311837	3.669991	1.32046
0002071691-25-007782	919964	C000173554	3.506622	1.340332	3.477252
0002071691-25-007782	919965	C000003854	3.477652	1.306947	3.462271
0001410368-25-041185	925951		3.41	1.99	2.58
0000913181-25-000365	923317	C000136527	-.17527	1.320775	1.096247
0000225997-25-000213	928314	C000153131	.7964	2.43580562	1.12769153
0002071691-25-009449	926558	C000141927	1.181002	1.073563	.661746
0001193125-25-293300	911523	C000025106	-.350224	1.324301	.86877499
0001193125-25-293300	911525	C000025109	-.368272	1.30607699	.85159999
0001193125-25-251553	904722	C000026237	8.24388999	.89356	2.04564
0001193125-25-251553	904735	C000164821	8.33224999	.97316	2.10673
0001193125-25-251558	904815	C000024490	5.287389	-.044484	2.385616
0000036405-25-000243	914001	C000170275	.93953		
0000036405-25-000240	914024	C000007804	1.73846	5.21196	.39785467
0000035402-25-001351	906207	C000254531	4.17	1.66	1.6
0001193125-25-293559	912420	C000023930	.468368	1.5539	2.564336
0001193125-25-293564	912469	C000023928	2.75174	1.261934	2.750448
0000036405-25-000238	914752	C000007773	2.22808	2.01725	3.63733327
0001193125-25-293563	912442	C000023917	2.231665	1.22003	3.896534
0001193125-25-293563	912443	C000023918	2.232332	1.224412	3.902639
0001410368-25-017902	904243	C000037544	1.77	-.39	1.59
0000035402-25-001483	906455	C000199108	5.07	2.31	2.22
0001193125-25-251557	904852	C000025150	1.20541999	-.37155299	1.36440799
0001193125-25-251557	904857	C000025157	1.14181	-.51991499	1.379141
0002071691-25-003685	905046	C000006437	6.79	3.62	-.77
0001378872-25-000392	908275	C000221604	6.337584	2.400571	.9124
0001193125-25-293305	911433	C000068555	.92721499	1.620806	2.97387799
0001193125-25-293305	911434	C000077860	.95384	1.621115	2.968265
0001193125-25-293305	911439	C000189522	.954889	1.59281	2.98831399
0001193125-25-293318	911588	C000189490	.48738699	1.866398	2.98751
0001193125-25-293287	911545	C000164468	-.644825	1.729628	.626304
0001193125-25-293287	911547	C000164471	-.645511	1.62479599	.58168999
0000035402-25-001403	906326	C000019557	4.15	1.97	1.08
0002071691-25-006501	911991	C000128787	.468896	2.9846282	.8715149
0002071691-25-006501	911993	C000018332	-.0016396	2.8571516	.7968192
0000894189-25-015336	916396	C000002163	-.15	1.15	1.13
0000777535-25-000037	916954	C000154478	1.222535	1.727163	3.507201
0001099263-25-003630	915713	C000005426	3.58	.6	3.48
0002071691-25-004164	907705	C000009618	1.519049	-.412532	1.226441
0002071691-25-004164	907706	C000009615	1.505043	-.248381	1.310233
0001193125-25-251548	904680	C000024005	6.31715	2.3531	.99989899
0001193125-25-251548	904684	C000024010	6.32620099	2.3414	.990175
0001193125-25-251548	904685	C000024011	6.384818	2.4289	1.027834
0001193125-25-251548	904692	C000148384	6.33200899	2.39417	1.01019
0001193125-25-251548	904695	C000189472	6.383888	2.45106	1.054262
0002071691-25-007650	918541	C000202278	.53173	1.084799	.79356
0000036405-25-000241	913945	C000007787	2.3163	1.91623	3.73789843
0000035402-25-001373	906304	C000064242	7.32	5.04	1.42
0001410368-25-017052	903480	C000002259	2.29	-.68	3.75
0001193125-25-293282	911391	C000224623	1.81361199	1.016039	3.690368
0001193125-25-293324	911743	C000026250	-.36322099	3.13524899	.685118
0001193125-25-293324	911744	C000026251	-.36045999	3.121847	.68335599
0001193125-25-293324	911751	C000026260	-.36551999	3.119245	.68105099
0001193125-25-293324	911754	C000068590	-.298041	3.224959	.76705999
0000052848-25-000265	905795	C000012226	9.36669	4.12726	.91665
0000052848-25-000265	905796	C000012227	9.36694	4.12858	.91553
0000052848-25-000312	913994	C000055216	3.88848	.90945	4.91698534
0000752177-25-000253	913864	C000007070	.75762	3.7654	5.66889632
0000794105-25-000137	913884	C000007058	-.22873	1.50463	.71691129
0000036405-25-000236	913918	C000007794	2.01786	1.54035	1.60866549
0001193125-25-251567	904892	C000025066	6.828304	1.902113	1.67607999
0001193125-25-251567	904896	C000025071	6.843055	1.909073	1.66587199
0001193125-25-251567	904897	C000025072	6.89132999	1.981768	1.720025
0000923202-25-000082	913940	C000135478	-1.69133	4.6595	2.85549835
0000036405-25-000235	913954	C000170276	2.28162	2.28104	3.46880854
0000862084-25-000081	914127	C000007826	2.24262	2.02471	3.64955423
0001193125-25-293319	911619	C000026335	-1.48483	3.74564199	3.69216799
0001193125-25-293319	911624	C000026341	-1.412538	3.818627	3.78948799
0001193125-25-293319	911632	C000221169	-1.403408	3.832586	3.783833
0002071691-25-006423	911723	C000018323	3.100631	.9681365	4.9277888
0002071691-25-006423	911724	C000018321	3.1657175	1.0342592	4.9880954
0000794105-25-000138	914016	C000046844	-.23787	1.17883	1.05125987
0001193125-25-293283	911472	C000026217	1.99399	1.89697199	2.264448
0001193125-25-293283	911474	C000026219	2.06451199	1.93271599	2.326196
0001193125-25-293283	911486	C000189430	2.052002	1.92776599	2.3376
0001193125-25-293283	911489	C000224626	2.052002	1.92776599	2.34428
0000894189-25-015338	916407	C000002165	-.12	1.14	1.12
0000894189-25-015338	916408	C000002166	-.13	1.15	1.04
0001410368-25-017036	903373	C000006931	3.07	-.93	2.93
0001410368-25-017270	903683	C000079980	6.05	3.42	1.03
0000035402-25-002155	915336	C000013196	.59	2.07	2.89
0000940400-25-010634	915592	C000052631	-.2	1.51	1.2
0000035402-25-002272	915694	C000021005	3.04	.83	2.8
0001099263-25-003622	915697	C000005457	2.23	2.01	3.64
0000035402-25-002202	915507	C000254566	2.31	-.82	1.2
0000035402-25-002202	915508	C000254568	2.25	-.88	1.08
0000752177-25-000254	913848	C000034440	.70138	2.51161	2.90302656
0000752177-25-000265	914004	C000091317	.867	2.85436	3.31125827
0001193125-25-296899	915977	C000086126	-.37	1.57	.86
0001099263-25-003615	916307	C000005427	2.36	.4	1.22
0002071691-25-007667	918664	C000202267	.194641	1.111817	.87988
0002071691-25-007832	920519	C000238581	-2.5	1.92	2.21
0001410368-25-032903	922766	C000052177	.23	1.63	1.05
0001410368-25-032903	922768	C000188230	.25	1.65	1.07
0000910472-25-005072	922880	C000163769	1.4	-.18	.66
0000910472-25-005072	922881	C000163771	1.44	-.15	.66
0001193125-25-334093	930806	C000042412	1.91180599	2.36875299	1.483925
0001193125-25-334095	930835	C000082210	2.029772	2.765948	1.87149
0001193125-25-334095	930836	C000082211	1.967556	2.69952699	1.80846199
0001193125-25-301809	921829	C000028926	3.85	-.18	3.82
0002071691-25-009312	926251	C000015220	3.055326	1.629274	.995999
0002071691-25-009312	926255	C000118171	3.130904	1.727297	1.084077
0002071691-25-007840	920611	C000037860	.095661	3.274063	1.814216
0002071691-25-007840	920612	C000017763	.096244	3.226338	1.81212
0000857489-25-000147	928202	C000065039	2.94284	3.52290248	1.89349532
0001193125-25-334091	931037	C000135746	1.75868	1.54255999	.60745
0001410368-25-040430	925479	C000002729	2.52	4.91	2.72
0001099263-25-004419	919206	C000026517	-.055323	.453709	.431973
0001099263-25-004472	919517	C000200465	-.073904	1.661075	.218916
0001099263-25-004485	919899	C000046103	.118477	1.610065	.762581
0001099263-25-004485	919900	C000046098	.106035	1.597577	.750046
0001099263-25-004485	919903	C000200460	.126834	1.618453	.770876
0001193125-25-301782	921662	C000077651	1.25	1.13	2.26
0001410368-25-038298	923998	C000175541	2.7	.4	-.58
0001193125-25-334199	931271	C000025732	2.2202	1.908206	.212736
0001193125-25-334202	931241	C000024458	1.686077	2.29516999	-.3088
0001193125-25-334202	931245	C000068556	1.699262	2.32604	-.28603
0001193125-25-334202	931246	C000077851	1.71175	2.32092799	-.270496
0001193125-25-334202	931247	C000148452	1.637825	2.25659999	-.338909
0001193125-25-334202	931253	C000190067	1.694162	2.31529	-.29118799
0001193125-25-334214	931454	C000023985	2.67427699	1.356059	-.510601
0001193125-25-334214	931462	C000023994	2.683322	1.355284	-.511348
0001193125-25-334214	931466	C000068581	2.676161	1.405967	-.51157599
0001193125-25-334214	931471	C000189427	2.67427699	1.40825199	-.510601
0001193125-25-334214	931472	C000189428	2.67427699	1.38232	-.472339
0002071691-25-007738	919559	C000235594	2.199457	1.886246	4.15665
0002071691-25-007741	919685	C000076449	2.610728	.520235	5.931788
0000035402-25-002966	929135	C000064268	1.3	5.78	5.34
0000035402-25-002966	929139	C000254553	1.29	5.77	5.29
0001193125-25-334203	931304	C000148440	2.565552	1.489332	-.01043
0001193125-25-334203	931305	C000164810	2.63749999	1.52852	.048556
0000857489-25-000151	928260	C000043572	4.1372	3.72044028	1.693729
0001193125-25-334098	930863	C000042417	2.00819599	2.638076	1.6736
0001193125-25-334098	930865	C000042419	1.9498	2.56460199	1.611227
0001193125-25-334098	930872	C000135764	2.004448	2.67553599	1.711066
0001193125-25-334932	931783	C000017064	1.243192043571	4.479008303122	4.902619207522
0000225997-25-000205	928210	C000007955	.6198	.62341345	.16924132
0001193125-25-334200	931426	C000026376	2.931749	4.17362	2.832235
0001193125-25-334200	931439	C000148355	2.94805	4.209392	2.85027999
0001193125-25-334200	931443	C000189489	3.01027599	4.253968	2.90616799
0001099263-25-004413	919243	C000026647	-.274896	1.457116	1.189155
0001099263-25-004413	919244	C000064155	-.191275	1.544695	1.268576
0001099263-25-004484	919599	C000026513	.431824	1.288495	.549272
0000736054-25-000149	928238	C000094039	4.1831	3.64163062	1.51294549
0001193125-25-334097	931094	C000189467	2.03061499	2.66851999	1.773618
0001193125-25-334136	931199	C000096495	1.88815999	1.92734399	1.46293
0001193125-25-334136	931204	C000096500	1.88815999	1.923238	1.43857499
0000106444-25-000232	928161	C000007108	1.06697	.48471898	.29007791
0000734383-25-000145	928281	C000008011	3.44336	.16845898	-2.55302738
0002071691-25-007797	919888	C000098140	.277421	3.60775	1.277089
0002071691-25-007797	919889	C000173561	.298599	3.652302	1.291508
0002071691-25-007782	919966	C000007566	3.444009	1.228812	3.445661
0000940400-25-014474	928384	C000095380	1.4	1.05	.63
0000035402-25-002869	928776	C000254554	.94	5.13	3.66
0000913181-25-000365	923315	C000136529	-.150991	1.34528	1.118578
0001410368-25-041987	927374	C000016166	2.05	3.6	2.37
0001193125-25-293300	911515	C000025097	-.347968	1.326579	.871065
0001193125-25-293300	911526	C000025110	-.338944	1.339108	.88366
0002071691-25-006469	911925	C000018534	1.4581861	2.0231448	1.1284712
0002071691-25-006469	911927	C000018532	1.5259776	2.087051	1.1914422
0001003715-25-001332	913593	C000152649	1.74	.8	2.61
0001193125-25-251553	904725	C000026240	8.351376	.982448	2.12216
0001193125-25-251558	904808	C000024481	5.25105	-.05905599	2.38255999
0001193125-25-251558	904813	C000024488	5.19154199	-.11518399	2.307128
0000036405-25-000237	913903	C000007799	1.99075	3.79045	1.68264249
0000036405-25-000237	913904	C000007800	2.01385	3.78474	1.70058235
0000036405-25-000237	913906	C000105304	2.00308	3.79658	1.69979521
0000036405-25-000239	913934	C000105306	2.4183	-.71793	1.7006623
0000036405-25-000243	913998	C000007781	2.54342	4.08054	2.04183396
0000036405-25-000240	914023	C000007803	1.75101	5.20462	.40819384
0001004726-25-002059	914088	C000012076	3.76	1.1	5.29
0000035402-25-001351	906210	C000254530	4.08	1.56	1.5
0001193125-25-293559	912421	C000023931	.498638	1.526018	2.59274599
0001193125-25-293564	912467	C000023926	2.77473799	1.260942	2.77292599
0000035402-25-002118	914318	C000182865	3.26	.33	2.76
0000035402-25-002136	914377	C000016601	3.17	.25	2.61
0000862084-25-000080	914672	C000007829	2.29251	2.27896	3.47693944
0000036405-25-000238	914755	C000170274	2.23664	2.02984	3.64948414
0000036405-25-000234	913902	C000007778	.17539	3.44516	2.32966105
0000794105-25-000143	914774	C000075027	-.29589	1.17885	1.05642308
0000777535-25-000042	917873	C000154473	.914559	1.936329	3.357734
0001193125-25-251557	904867	C000224561	1.145824	-.35014999	1.46573799
0001410368-25-031990	917834	C000017598	-3.26	5.37	1.78
0002071691-25-003685	905045	C000006441	6.74	3.57	-.8
0001193125-25-293305	911430	C000023948	.846766	1.54194599	2.88093999
0001193125-25-293305	911431	C000023949	.90086699	1.57165699	2.9182
0001193125-25-293318	911570	C000026302	.474641	1.85208299	2.971412
0001193125-25-293318	911578	C000026310	.477256	1.83871999	2.96395999
0001193125-25-293318	911581	C000026314	.4457	1.82709599	2.93778799
0001193125-25-293287	911546	C000164470	-.648748	1.523462	.569413
0001410368-25-019349	906712	C000188238	.72	.2	.97
0001099263-25-003640	915852	C000005515	-.23	3.09	.78
0001410368-25-022019	908872	C000102908	-.3	1.31	1.1
0001410368-25-022019	908874	C000058170	-.4	1.31	1.13
0001193125-25-251548	904682	C000024007	6.35864599	2.4289	1.050215
0001193125-25-251548	904691	C000076711	6.410689	2.44384799	1.07484799
0001193125-25-251548	904694	C000179992	6.41874199	2.43628	1.09142
0001193125-25-251548	904696	C000189473	6.397152	2.448476	1.07198
0001410368-25-017267	903680	C000105320	2.11	0	5.44
0002071691-25-007618	918483	C000012047	2.276424	2.267599	3.442556
0002071691-25-007646	918563	C000012068	1.83956	2.497564	.883211
0000036405-25-000241	913946	C000007788	2.32445	1.92582	3.7527182
0000035402-25-001373	906303	C000019448	7.29	5.05	1.41
0001193125-25-293282	911372	C000025050	1.798169	.995824	3.676924
0001193125-25-293282	911375	C000025053	1.756084	.97786999	3.63506399
0001193125-25-293282	911380	C000025059	1.79503999	.99989899	3.662437
0001193125-25-293282	911381	C000025061	1.71931999	.94246399	3.594536
0001193125-25-293282	911383	C000025063	1.803143	1.01377499	3.67615999
0001193125-25-293282	911386	C000148457	1.751432	.95402799	3.623872
0001193125-25-293324	911742	C000026249	-.30561	3.1974	.73961499
0001193125-25-293324	911753	C000026262	-.301058	3.20803699	.76093999
0000826473-25-000044	914810	C000007084	.2252	4.27991	1.11022342
0000794105-25-000137	913885	C000024520	-.22721	1.50633	.71843382
0000794105-25-000137	913886	C000046841	-.23572	1.53044	.70521772
0000752177-25-000261	913914	C000007076	.61538	2.3318	2.72693313
0000036405-25-000236	913919	C000096111	2.01678	1.54365	1.60875951
0000836906-25-000263	913943	C000157008	-.07281	1.27848	.60129809
0001193125-25-251567	904908	C000189487	6.919604	1.99677	1.756096
0000752177-25-000259	913907	C000007075	.44865	1.98511	2.18978102
0000794105-25-000140	913958	C000007060	-.06756	1.10475	.21674037
0001004726-25-002043	914119	C000012077	2.21	2.1	3.46
0000862084-25-000081	914126	C000007825	2.2406	2.02471	3.64779626
0000889519-25-000042	914066	C000007056	1.30417	1.86175	2.52524095
0000836906-25-000266	914144	C000118815	.31351	1.30052	-.03950227
0000836906-25-000266	914145	C000118816	.31974	1.2749	-.05704169
0001193125-25-293319	911617	C000026332	-1.440585	3.820105	3.76133999
0000794105-25-000138	914018	C000170279	-.28629	1.16826	1.04867622
0001193125-25-293283	911470	C000026215	1.97936	1.84551199	2.242889
0001193125-25-293283	911471	C000026216	1.955952	1.85721	2.234744
0001193125-25-293283	911477	C000026223	2.038454	1.90366699	2.31143299
0001410368-25-017036	903377	C000006936	3.06	-.95	2.85
0001410368-25-017036	903380	C000006924	3.07	-.94	2.86
0000940400-25-010616	915541	C000012042	.87	3.43	1.75
0000940400-25-010634	915593	C000011391	-.25	1.46	1.05
0000035402-25-002202	915506	C000019441	2.36	-.81	1.19
0000035402-25-001446	906399	C000019277	1.74	-.16	1.21
0000035402-25-001446	906400	C000019272	1.63	-.15	1.21
0000036405-25-000245	914054	C000034430	1.70254	3.31819	1.5191001
0000052848-25-000264	905784	C000012210	6.94655	3.27996	.30008
0000035402-25-001335	906169	C000013940	8.78	4.99	.85
0000035402-25-001335	906170	C000130147	8.79	4.99	.86
0001193125-25-296899	915979	C000213584	-.37	1.57	.86
0001410368-25-032147	918041	C000212062	2.25	2.03	3.65
0002071691-25-007634	918484	C000012040	2.239205	2.025583	3.65041
0002071691-25-007667	918662	C000202265	.103296	1.020655	.791311
0000035402-25-001416	906323	C000211071	1.56	-.22	1.11
0000035402-25-001441	906379	C000211233	5.15	2.27	2.27
0000035402-25-001477	906450	C000204787	6.34	1.68	2.7
0000910472-25-005072	922879	C000163770	1.36	-.24	.58
0001193125-25-334090	930782	C000042404	1.8461	1.812545	1.018635
0001193125-25-334090	930786	C000135752	1.870033	1.834596	.977773
0001193125-25-334094	930794	C000042408	1.85976799	1.969813	1.130141
0001193125-25-334093	930808	C000042414	1.92813899	2.42035999	1.502665
0001193125-25-334093	930812	C000135758	1.864655	2.409785	1.437944
0001193125-25-334095	930845	C000148412	1.97348	2.727908	1.8165
0001193125-25-334095	930848	C000189468	2.02307	2.791625	1.89788
0001193125-25-301809	921831	C000077670	3.78	-.26	3.75
0001084380-25-000525	932559	C000033987	1.76952	3.412301	2.12274
0001084380-25-000525	932562	C000202742	1.77289	3.439911	2.131741
0001193125-25-334091	931039	C000135748	1.83905	1.62375199	.71110699
0001193125-25-334091	931041	C000164842	1.84264999	1.62909	.711859
0001410368-25-042035	927427	C000028342	.86	2.92	1.93
0001099263-25-004419	919208	C000026520	-.131566	.374527	.360309
0001099263-25-004419	919210	C000200438	-.047013	.462541	.439981
