ACCESSION_NUMBER	MONTHLY_TOTAL_RETURN_ID	CLASS_ID	MONTHLY_TOTAL_RETURN1	MONTHLY_TOTAL_RETURN2	MONTHLY_TOTAL_RETURN3
0001193125-25-293283	911480	C000026227	2.045021	1.929502	2.32903999
0001410368-25-017036	903376	C000006933	2.99	-1.03	2.81
0001410368-25-017036	903378	C000006935	3.05	-1	2.88
0001410368-25-017275	903686	C000079979	5.11	2.33	2
0001099263-25-003622	915698	C000159677	2.24	2.02	3.65
0000035402-25-002202	915510	C000064273	2.43	-.81	1.19
0001021882-25-000204	905825	C000080846	1.20938	-.42233	1.50598
0000036405-25-000245	914053	C000034429	1.69858	3.31005	1.50432296
0000105563-25-000099	905897	C000012163	4.02948	1.54833	1.56829
0000036405-25-000244	913981	C000007784	3.7572	.8455	4.71111232
0000036405-25-000244	913982	C000007785	3.75703	.84547	4.71337797
0000035402-25-001486	906503	C000201710	1.65	-.17	1.21
0001410368-25-032147	918040	C000201951	2.21	2	3.62
0001193125-25-299121	918290	C000030876	-.03	4.11	3.52
0001193125-25-299123	918331	C000235734	-1.15	4.13	.24
0000035402-25-001445	906375	C000069436	1.56	-.23	1.26
0001410368-25-032903	922764	C000052179	.2	1.6	1.02
0001410368-25-032903	922769	C000018456	.17	1.7	.85
0000910472-25-005072	922882	C000220411	1.34	-.24	.59
0001193125-25-334090	930778	C000042400	1.80236	1.77025599	.89651
0001193125-25-334090	930788	C000164843	1.821362	1.841344	.98161499
0001193125-25-334090	930790	C000189463	1.81269699	1.884935	.977096
0001193125-25-334094	930792	C000042406	1.797075	1.962476	1.0581
0001193125-25-334094	930793	C000042407	1.791169	1.954124	1.05484399
0001193125-25-334094	930799	C000135755	1.893566	2.00095999	1.12155599
0001193125-25-334094	930804	C000189464	1.922534	2.028272	1.15587899
0001193125-25-334093	930807	C000042413	1.87309	2.42141199	1.445211
0001193125-25-334093	930809	C000042415	1.94867399	2.47496	1.526445
0001193125-25-334093	930813	C000135759	1.91558099	2.49139999	1.492898
0001193125-25-334093	930814	C000135760	1.94235	2.51240299	1.521944
0001193125-25-334095	930840	C000082215	2.03798	2.79774599	1.91057999
