HOLDING_ID	RATE_RESET_TENOR_ID	RECEIPT_OR_PAYMENT	RESET_DATE	RESET_DATE_UNIT	RATE_TENOR	RATE_TENOR_UNIT
161068276	1524661	REC	Month	1	Day	1
161068504	1524691	REC	Month	1	Day	1
161064652	1523712	REC	Month	1	Day	1
161055099	1521629	REC	Month	1	Day	1
161044282	1518976	PMNT	Month	1	Day	1
161045660	1519370	PMNT	Month	1	Day	1
161049765	1520245	PMNT	Month	1	Day	1
161063487	1523525	PMNT	Month	1	Day	1
161061910	1523024	PMNT	Month	1	Day	1
161063446	1523519	PMNT	Month	1	Day	1
161044288	1518977	PMNT	Month	1	Day	1
161066556	1524289	PMNT	Month	1	Day	1
161052591	1521052	PMNT	Month	1	Day	1
161052836	1521089	PMNT	Month	1	Day	1
161042434	1518728	PMNT	Month	1	Day	1
161050271	1520364	PMNT	Month	1	Day	1
161053197	1521203	PMNT	Month	1	Day	1
161061643	1522935	PMNT	Month	1	Day	1
161065225	1523852	PMNT	Month	1	Day	1
161052728	1521066	PMNT	Month	1	Day	1
161050940	1520587	PMNT	Month	1	Day	1
161042506	1518752	PMNT	Month	1	Day	1
161068450	1524684	PMNT	Month	1	Day	1
161049219	1520164	PMNT	Month	1	Day	1
161049868	1520262	PMNT	Month	1	Day	1
161056341	1521999	PMNT	Month	1	Day	1
161052142	1520930	PMNT	Month	1	Day	1
161061158	1522788	PMNT	Month	1	Day	1
161050190	1520337	PMNT	Month	1	Day	1
161051132	1520651	PMNT	Month	1	Day	1
161068145	1524643	PMNT	Month	1	Day	1
161065468	1523933	PMNT	Month	1	Day	1
161049489	1520200	PMNT	Month	1	Day	1
161061291	1522828	PMNT	Month	1	Day	1
161042542	1518764	PMNT	Month	1	Day	1
161062973	1523372	PMNT	Month	1	Day	1
161061179	1522795	PMNT	Month	1	Day	1
161057974	1522225	PMNT	Month	1	Day	1
161051760	1520830	PMNT	Month	1	Day	1
161051676	1520802	PMNT	Month	1	Day	1
161056425	1522027	PMNT	Month	1	Day	1
161053404	1521272	PMNT	Month	1	Day	1
156400657	1456890	REC	Month	1	Month	1
156394211	1456813	PMNT	Month	12	Month	12
156416033	1456978	PMNT	Day	1	Day	1
159386170	1499518	REC	Day	1	Day	1
159386664	1499561	REC	Month	6	Month	6
159386576	1499554	PMNT	Day	1	Day	1
159386558	1499552	PMNT	Month	3	Month	3
159388189	1499683	PMNT	Day	1	Day	1
159388265	1499694	PMNT	Month	3	Month	3
159390456	1499858	PMNT	Month	3	Month	3
159793792	1507018	REC	Day	1	Year	1
159794407	1507031	REC	Day	1	Year	1
161044779	1519084	REC	Month	1	Day	1
161061191	1522799	REC	Month	1	Day	1
161055637	1521777	REC	Month	1	Day	1
161063285	1523476	REC	Month	1	Day	1
161066322	1524211	REC	Month	1	Day	1
161044464	1519006	REC	Month	1	Day	1
161048830	1520076	REC	Month	1	Day	1
161054317	1521448	REC	Month	1	Day	1
161067392	1524530	REC	Month	1	Day	1
161052391	1521013	REC	Month	1	Day	1
161062085	1523076	REC	Month	1	Day	1
161067323	1524507	REC	Month	1	Day	1
161047992	1519942	REC	Month	1	Day	1
161057343	1522151	REC	Month	1	Day	1
161063078	1523407	REC	Month	1	Day	1
161062508	1523217	REC	Month	1	Day	1
161068070	1524633	REC	Month	1	Day	1
161042671	1518807	REC	Month	1	Day	1
161059167	1522428	REC	Month	1	Day	1
161047280	1519787	REC	Month	1	Day	1
161044737	1519070	REC	Month	1	Day	1
161060672	1522647	REC	Month	1	Day	1
161047858	1519919	REC	Month	1	Day	1
161055517	1521737	REC	Month	1	Day	1
161045960	1519470	REC	Month	1	Day	1
161066836	1524376	REC	Month	1	Day	1
161054311	1521447	REC	Month	1	Day	1
161056227	1521961	REC	Month	1	Day	1
161054296	1521444	REC	Month	1	Day	1
161045396	1519282	REC	Month	1	Day	1
161057630	1522181	REC	Month	1	Day	1
161060120	1522548	REC	Month	1	Day	1
161055159	1521649	REC	Month	1	Day	1
161065114	1523815	REC	Month	1	Day	1
161055102	1521630	REC	Month	1	Day	1
161066124	1524145	REC	Month	1	Day	1
161061059	1522755	REC	Month	1	Day	1
161051790	1520840	REC	Month	1	Day	1
161051054	1520625	REC	Month	1	Day	1
161050472	1520431	REC	Month	1	Day	1
161042566	1518772	REC	Month	1	Day	1
161058193	1522271	REC	Month	1	Day	1
161055126	1521638	REC	Month	1	Day	1
161059115	1522422	REC	Month	1	Day	1
161060845	1522703	REC	Month	1	Day	1
161048981	1520124	REC	Month	1	Day	1
161065429	1523920	REC	Month	1	Day	1
161065405	1523912	REC	Month	1	Day	1
161045483	1519311	REC	Month	1	Day	1
161046369	1519601	REC	Month	1	Day	1
161062553	1523232	REC	Month	1	Day	1
161062415	1523186	REC	Month	1	Day	1
161049723	1520238	REC	Month	1	Day	1
161064717	1523730	REC	Month	1	Day	1
161064095	1523622	REC	Month	1	Day	1
161065378	1523903	REC	Month	1	Day	1
161055114	1521634	REC	Month	1	Day	1
161061230	1522812	REC	Month	1	Day	1
161062766	1523303	REC	Month	1	Day	1
161051036	1520619	REC	Month	1	Day	1
161054588	1521499	REC	Month	1	Day	1
161051066	1520629	REC	Month	1	Day	1
161061393	1522859	REC	Month	1	Day	1
161052394	1521014	REC	Month	1	Day	1
161048047	1519953	REC	Month	1	Day	1
161056550	1522052	REC	Month	1	Day	1
161061257	1522821	REC	Month	1	Day	1
161051497	1520749	PMNT	Month	1	Day	1
161058474	1522324	PMNT	Month	1	Day	1
161045426	1519292	PMNT	Month	1	Day	1
161052115	1520921	PMNT	Month	1	Day	1
161068260	1524659	PMNT	Month	1	Day	1
161052965	1521132	PMNT	Month	1	Day	1
161049561	1520211	PMNT	Month	1	Day	1
161065066	1523799	PMNT	Month	1	Day	1
161048442	1520006	PMNT	Month	1	Day	1
161066142	1524151	PMNT	Month	1	Day	1
161061155	1522787	PMNT	Month	1	Day	1
161060630	1522636	PMNT	Month	1	Day	1
161060875	1522708	PMNT	Month	1	Day	1
161049693	1520233	PMNT	Month	1	Day	1
161050012	1520286	PMNT	Month	1	Day	1
161062139	1523094	PMNT	Month	1	Day	1
161056946	1522102	PMNT	Month	1	Day	1
161066550	1524287	PMNT	Month	1	Day	1
161046944	1519693	PMNT	Month	1	Day	1
161051295	1520685	PMNT	Month	1	Day	1
161050901	1520574	PMNT	Month	1	Day	1
161051368	1520706	PMNT	Month	1	Day	1
161066863	1524385	PMNT	Month	1	Day	1
161057299	1522145	PMNT	Month	1	Day	1
161058870	1522393	PMNT	Month	1	Day	1
161050424	1520415	PMNT	Month	1	Day	1
161053398	1521270	PMNT	Month	1	Day	1
161051051	1520624	PMNT	Month	1	Day	1
156406976	1456941	PMNT	Day	1	Day	1
156419499	1456999	PMNT	Day	1	Day	1
160915508	1516708	PMNT	Day	1	Year	4
160483494	1513434	PMNT	Month	1	Day	304
160518345	1513526	REC	Day	1	Day	0
159388174	1499681	REC	Day	0	Day	0
159387704	1499641	REC	Day	1	Day	1
159386146	1499514	PMNT	Month	6	Month	6
159388174	1499682	PMNT	Month	3	Day	1
159388284	1499695	PMNT	Day	1	Day	1
159387296	1499615	PMNT	Month	3	Month	3
159383286	1499295	PMNT	Day	1	Day	1
159385086	1499424	PMNT	Day	1	Day	1
159794937	1507045	REC	Day	1	Year	1
161045051	1519174	REC	Month	1	Day	1
161060603	1522631	REC	Month	1	Day	1
161055000	1521596	REC	Month	1	Day	1
161041943	1518596	REC	Month	1	Day	1
161057469	1522167	REC	Month	1	Day	1
161054757	1521531	REC	Month	1	Day	1
161061408	1522864	REC	Month	1	Day	1
161046161	1519537	REC	Month	1	Day	1
161063959	1523605	REC	Month	1	Day	1
161044653	1519042	REC	Month	1	Day	1
161055415	1521703	REC	Month	1	Day	1
161065051	1523794	REC	Month	1	Day	1
161056821	1522085	REC	Month	1	Day	1
161049345	1520182	REC	Month	1	Day	1
161068389	1524676	REC	Month	1	Day	1
161041886	1518577	REC	Month	1	Day	1
161060003	1522526	REC	Month	1	Day	1
161050607	1520476	REC	Month	1	Day	1
161045309	1519253	REC	Month	1	Day	1
161066136	1524149	REC	Month	1	Day	1
161061514	1522892	REC	Month	1	Day	1
161062706	1523283	REC	Month	1	Day	1
161065546	1523959	REC	Month	1	Day	1
161062226	1523123	REC	Month	1	Day	1
161054551	1521492	REC	Month	1	Day	1
161062235	1523126	REC	Month	1	Day	1
161060587	1522629	REC	Month	1	Day	1
161045030	1519167	REC	Month	1	Day	1
161055508	1521734	REC	Month	1	Day	1
161041844	1518563	REC	Month	1	Day	1
161046230	1519560	REC	Month	1	Day	1
161062682	1523275	REC	Month	1	Day	1
161049429	1520190	REC	Month	1	Day	1
161062334	1523159	REC	Month	1	Day	1
161045789	1519413	REC	Month	1	Day	1
161047603	1519877	REC	Month	1	Day	1
161041808	1518551	REC	Month	1	Day	1
161068718	1524724	REC	Month	1	Day	1
161045906	1519452	REC	Month	1	Day	1
161050247	1520356	REC	Month	1	Day	1
161051730	1520820	REC	Month	1	Day	1
161062838	1523327	REC	Month	1	Day	1
161051518	1520756	REC	Month	1	Day	1
161052558	1521048	REC	Month	1	Day	1
161058017	1522234	REC	Month	1	Day	1
161051467	1520739	REC	Month	1	Day	1
161056134	1521930	REC	Month	1	Day	1
161068091	1524636	REC	Month	1	Day	1
161042018	1518621	REC	Month	1	Day	1
161060175	1522558	REC	Month	1	Day	1
161046245	1519565	REC	Month	1	Day	1
161062694	1523279	REC	Month	1	Day	1
161052854	1521095	REC	Month	1	Day	1
161052980	1521137	REC	Month	1	Day	1
161052522	1521042	REC	Month	1	Day	1
161056428	1522028	REC	Month	1	Day	1
161066226	1524179	REC	Month	1	Day	1
161060711	1522660	REC	Month	1	Day	1
161053025	1521152	REC	Month	1	Day	1
161045855	1519435	REC	Month	1	Day	1
161042458	1518736	REC	Month	1	Day	1
161050373	1520398	REC	Month	1	Day	1
161046392	1519605	REC	Month	1	Day	1
161063675	1523552	PMNT	Month	1	Day	1
161049627	1520222	PMNT	Month	1	Day	1
161062985	1523376	PMNT	Month	1	Day	1
161042593	1518781	PMNT	Month	1	Day	1
161055688	1521788	PMNT	Month	1	Day	1
161064916	1523767	PMNT	Month	1	Day	1
161060981	1522729	PMNT	Month	1	Day	1
161044257	1518972	PMNT	Month	1	Day	1
161053043	1521158	PMNT	Month	1	Day	1
161052797	1521076	PMNT	Month	1	Day	1
161046854	1519678	PMNT	Month	1	Day	1
161049543	1520208	PMNT	Month	1	Day	1
161049591	1520216	PMNT	Month	1	Day	1
161066259	1524190	PMNT	Month	1	Day	1
161062940	1523361	PMNT	Month	1	Day	1
161062577	1523240	PMNT	Month	1	Day	1
161064308	1523649	PMNT	Month	1	Day	1
161066553	1524288	PMNT	Month	1	Day	1
161043507	1518888	PMNT	Month	1	Day	1
161052571	1521050	PMNT	Month	1	Day	1
161048435	1520005	PMNT	Month	1	Day	1
161050739	1520520	PMNT	Month	1	Day	1
161062520	1523221	PMNT	Month	1	Day	1
161055370	1521688	PMNT	Month	1	Day	1
161053691	1521337	PMNT	Month	1	Day	1
161053571	1521315	PMNT	Month	1	Day	1
161056990	1522108	PMNT	Month	1	Day	1
